-,-,-,-,-,-,-,-,-,-
카페 그대로,"카페,디저트",서울 영등포구 대방천로 211-8 1층 102호,샌드위치단체주문 full (가격문의),샌드위치 full 인스타그램 DM or 가게전화로 편하게 문의주세요👐🏻,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-,-,-
테디뵈르하우스 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 B1,피스타치오 퀸아망,프랑스 고급 AOP 레스큐어 버터를 사용한 테디의 오리지널 크로아상,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
베르데커피,"카페,디저트",서울 영등포구 도림로139가길 5 1층,베르데라떼 (VERDE LATTE),,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
셰프의 아이들,베이커리,"서울 영등포구 당산로 102 1층, 2층",소금빵,고급 버터의 풍미를 잔뜩 머금은 시그니쳐 소금빵,빵이 맛있어요,커피가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
러스트 베이커리,베이커리,서울 영등포구 경인로79길 15 러스트베이커리,퀸아망 얼그레이,,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
서울커피,"카페,디저트",서울 영등포구 국제금융로 86 롯데캐슬 아이비 1층 101호 서울커피,서울비엔나,고소한크림과 부드러운 커피의 조화가 이뤄진 서울커피의 대표메뉴 서울비엔나,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
코끼리베이글 영등포,베이글,서울 영등포구 선유로 176 코끼리베이글,버터솔트,"얼그레이,캐모마일,머쉬룸 히어로,로즈 멜란지",빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
강변서재,"카페,디저트",서울 영등포구 의사당대로 1 국회 사랑재 옆 건물 2층,캐모마일,,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
아트스뉴욕 문래점,"카페,디저트",서울 영등포구 도림로143길 14 1층,아인슈페너,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
모리,"카페,디저트",서울 영등포구 영중로10길 9 2층,딸기 폴딩케이크,부드러운 빵과 크림위에 상큼한 딸기,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
멜라 타임스퀘어점,브런치카페,서울 영등포구 영중로 15 103-9호,미나리봉골레,신선한 미나리 토마토 바지락에 오일을 곁들여 아삭한 식감과 풍미가 돋보이는 미나리봉골레,음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
