마라공방 교대점,마라탕,서울 서초구 반포대로28길 54 1층,마라탕 100g,,음식이 맛있어요,재료가 신선해요,혼밥하기 좋아요,친절해요,가성비가 좋아요
라파스타앤모어,"스파게티,파스타전문",서울 서초구 사평대로57길 86 1층,누룽지삼계국물파스타,"닭고기,누룽지,청양오일,꽈리고추튀김 그리고 진한 국물의 환상의 조합",음식이 맛있어요,가성비가 좋아요,친절해요,혼밥하기 좋아요,재료가 신선해요
-,-,-,-,-,-,-,-,-,-
방이옥 사당역점,"육류,고기요리",서울 서초구 방배천로2안길 7 1층,황제꽃갈비살,1인가격,음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,직접 잘 구워줘요
이가네양꼬치 교대1호직영점,양꼬치,서울 서초구 반포대로22길 89 1층(서초동.서남빌딩),양갈비,,음식이 맛있어요,친절해요,고기 질이 좋아요,단체모임 하기 좋아요,특별한 메뉴가 있어요
옥된장 양재점,한식,서울 서초구 서운로6길 29 1층,김치찜(넉넉한 2.4인),'김치찜'이라 쓰고 '고기찜'이라 읽는다 옥된장 양재점만의 '정성'과 '푸짐'이란 비법으로 단골이 많은 인기메뉴,음식이 맛있어요,재료가 신선해요,친절해요,매장이 넓어요,인테리어가 멋져요
이가네양꼬치 양재2호직영점,양꼬치,서울 서초구 마방로2길 68,양등심꼬치,,음식이 맛있어요,고기 질이 좋아요,친절해요,단체모임 하기 좋아요,재료가 신선해요
진대감 강남역 삼성타운점,소고기구이,서울 서초구 서초대로78길 50 우영빌딩,한우차돌삼합,"한우 1등급이상의 차돌박이와 서해안 키조개 관자, 그리고 곁들임 찬 세 가지 합",음식이 맛있어요,친절해요,매장이 넓어요,특별한 메뉴가 있어요,고기 질이 좋아요
낙원타코 강남역점,"멕시코,남미음식",서울 서초구 서초대로73길 7 2층,낙원파히타,,음식이 맛있어요,매장이 넓어요,양이 많아요,특별한 메뉴가 있어요,친절해요
금복주류 강남역점,요리주점,서울 서초구 강남대로65길 9 1층 금복주류,차돌순두부짬뽕탕,,음식이 맛있어요,술이 다양해요,기본 안주가 좋아요,친절해요,음악이 좋아요
-,-,-,-,-,-,-,-,-,-
랜돌프비어 강남점,"맥주,호프",서울 서초구 강남대로65길 9 지하,수제 생맥주 2잔 세트메뉴 👍 👍,수제생맥주 2잔 + 피자 반판 + 후라이드 치킨봉(6pc)+코울슬로,음식이 맛있어요,술이 다양해요,인테리어가 멋져요,기본 안주가 좋아요,친절해요
판교집 양재직영점,돼지고기구이,서울 서초구 마방로10길 58 1층,급냉한돈삼겹살(1인/180g),"당일 도축된 1등급 국내산 암퇘지만을 선별,숙성 후 급속냉동한 삼겹살",음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,매장이 넓어요
이가네양꼬치 교대2호직영점,양꼬치,서울 서초구 서초대로50길 105 1층,양갈비,,음식이 맛있어요,고기 질이 좋아요,매장이 넓어요,친절해요,단체모임 하기 좋아요
스키당 교대점,샤브샤브,서울 서초구 서초중앙로22길 25 2층 202호,1인 스키야키(관서식),일본식 불고기,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,친절해요,매장이 넓어요
설마중,"육류,고기요리",서울 서초구 남부순환로 2648,평일점심특선,푸짐한상 /갈비살정식₩35. 사모님정식A한우불고기 ₩38.,음식이 맛있어요,단체모임 하기 좋아요,친절해요,고기 질이 좋아요,양이 많아요
청담동순도리 사당점,"순대,순댓국",서울 서초구 방배천로 19 1층,순대국밥,"*일반 10,000원 *특 12,000원",음식이 맛있어요,양이 많아요,특별한 메뉴가 있어요,고기 질이 좋아요,친절해요
담,한정식,서울 서초구 남부순환로 2406 예술의전당 서예박물관 1층,담 한상차림,통고등어구이와 바싹불고기. 쭈꾸미.보쌈. 전. 잡채등이 어울러진 한상차림,음식이 맛있어요,매장이 넓어요,친절해요,재료가 신선해요,매장이 청결해요
정통 한성 양갈비 양꼬치,양꼬치,서울 서초구 반포대로28길 71-18,통갈비,,음식이 맛있어요,고기 질이 좋아요,친절해요,단체모임 하기 좋아요,매장이 넓어요
수작카츠 양재점,돈가스,서울 서초구 강남대로10길 32,수작카츠,등심카츠+모짜치즈카츠+참깨샐러드+미소장국+후리카케밥,음식이 맛있어요,친절해요,혼밥하기 좋아요,가성비가 좋아요,재료가 신선해요
이응티읕,와인,서울 서초구 방배천로8길 42 1층 101호,크림뇨끼,수제 감자반죽을 팬에 노릇하게 구워내 크림 소스로 맛을 낸 여심자극 No.1 뇨끼,음식이 맛있어요,친절해요,대화하기 좋아요,인테리어가 멋져요,술이 다양해요
덕자네방앗간,떡볶이,서울 서초구 서초대로77길 62 1층 (L1층),떡볶이,배달주문 및 포장시 감자샐러드는 변질 우려로 나가지 않는 점 양해부탁드립니다,음식이 맛있어요,특별한 메뉴가 있어요,혼밥하기 좋아요,매장이 청결해요,재료가 신선해요
백화네부엌 교대점,요리주점,"서울 서초구 반포대로28길 76 1층, 지하1층",찜갈비,"자작한 국물의 소갈비찜 X 레드와인, 증류주, IPA, 흑맥주",음식이 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요,술이 다양해요
이자카야 열,이자카야,서울 서초구 강남대로 345 2층,코스,,음식이 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,기본 안주가 좋아요,술이 다양해요
-,-,-,-,-,-,-,-,-,-
이자카야 열,이자카야,서울 서초구 강남대로 345 2층,코스,,음식이 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,기본 안주가 좋아요,술이 다양해요
-,-,-,-,-,-,-,-,-,-
카페 이로,"카페,디저트","서울 서초구 반포대로30길 32 1층, 지하1층",해치의 신수림 [하],,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
부아텅,태국음식,서울 서초구 사임당로 80 102호,뿌님팟퐁커리,소프트 크랩을 튀겨서 옐로우커리와 함께 볶아서 만든 요리,음식이 맛있어요,재료가 신선해요,현지 맛에 가까워요,양이 많아요,인테리어가 멋져요
청도미나리식당 신논현점,샤브샤브,서울 서초구 사평대로 362 지층,미나리샤브샤브 평일점심특선(2인이상),"11:00~15:00 한정 점심특선(주말,공휴일 제외)",음식이 맛있어요,재료가 신선해요,양이 많아요,매장이 넓어요,친절해요
고깃집열,"육류,고기요리",서울 서초구 서초대로78길 48 2층,반마리 세트,목살과 가브리살 500G 세트메뉴 (2인 추천!),음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,양이 많아요
남부,"육류,고기요리",서울 서초구 효령로52길 5 1층,남부한판 600g,"숙성삼겹살,숙성꽃목살,가브리살",음식이 맛있어요,친절해요,고기 질이 좋아요,재료가 신선해요,특별한 메뉴가 있어요
강창구찹쌀진순대 마포껍데기집,한식,서울 서초구 사평대로 362 신영빌딩 105호 106호,돼지껍데기 / 마포껍데기집,신선한 국내산 돼지고기를 사용합니다.,음식이 맛있어요,친절해요,재료가 신선해요,가성비가 좋아요,양이 많아요
감격시대,"육류,고기요리",서울 서초구 서초대로50길 104 코랜드빌딩,스페샬 무한리필,시대+치마살+제주오겹,음식이 맛있어요,가성비가 좋아요,양이 많아요,친절해요,매장이 넓어요
시그니처랩 반포점,양식,서울 서초구 신반포로 194 서울고속버스터미널 경부영동선 1층 승차홈 1번,브런치플레이트,"샐러드, 소세지, 베이컨, 스크램블에그, 호밀빵",음식이 맛있어요,가성비가 좋아요,재료가 신선해요,친절해요,매장이 청결해요
보글이 생태탕왕코다리 양재역점,"해물,생선요리",서울 서초구 강남대로37길 56-18 서초에메랄드빌딩 1층,해물철판中,산낙지+산전복+산가리비 등 각종생물이 들어간 해물철판요리,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,친절해요,매장이 청결해요
트라가 강남역점,스페인음식,서울 서초구 강남대로55길 24 2층 201호 트라가,트라가세트(2인),트라가미니빠에야+감바스피칸테+이베리코스테이크250g+하몽샐러드로 구성된 2인 세트,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,인테리어가 멋져요
파이브가이즈 강남,햄버거,"서울 서초구 강남대로 435 주류성빌딩 1층, 2층",햄버거,,음식이 맛있어요,양이 많아요,특별한 메뉴가 있어요,재료가 신선해요,매장이 넓어요
도라스시 남부터미널점,"초밥,롤",서울 서초구 효령로60길 23-4,도라스페셜(14p)추천,,음식이 맛있어요,재료가 신선해요,친절해요,매장이 청결해요,매장이 넓어요
봉구가래떡볶이 이수역점,종합분식,서울 서초구 서초대로1길 12 1층,봉구가래떡볶이,봉구가래떡볶이+찰순대+모듬튀김,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,양이 많아요
7번방 강남점,요리주점,서울 서초구 서초대로77길 43 경원빌딩,뉴욕스테이크,스테이크와 와인 한 잔 어때요~ ?,음식이 맛있어요,인테리어가 멋져요,술이 다양해요,대화하기 좋아요,기본 안주가 좋아요
리향,중식당,서울 서초구 반포대로28길 15 아카디아빌딩,런치 코스요리,,음식이 맛있어요,친절해요,단체모임 하기 좋아요,재료가 신선해요,가성비가 좋아요
오감쭈꾸미,주꾸미요리,서울 서초구 방배천로 12-11,쭈꾸미차돌백이,,음식이 맛있어요,친절해요,재료가 신선해요,가성비가 좋아요,양이 많아요
딘타이펑 강남점,중식당,서울 서초구 서초대로73길 12 세계빌딩,샤오롱바오(4),"꿔바로우(소) - 21,000원",음식이 맛있어요,매장이 넓어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
고에몬 강남점,"스파게티,파스타전문",서울 서초구 서초대로77길 7 서초빌딩 1층,까르보나라 멘타이꼬(명란파스타),,음식이 맛있어요,특별한 메뉴가 있어요,친절해요,양이 많아요,혼밥하기 좋아요
강남역파스타,"스파게티,파스타전문",서울 서초구 서초대로73길 24,후레쉬모짜렐라피자,,음식이 맛있어요,매장이 넓어요,가성비가 좋아요,양이 많아요,혼밥하기 좋아요
오우아,"카페,디저트",서울 서초구 방배천로6길 3-4 1층,단호박케이크,오우아의 모든 메뉴는 매장에서 직접 만들어집니다.,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
더 리버사이드 호텔 뷔페 더가든키친,뷔페,서울 서초구 강남대로107길 6 1층,[12월] 주중 런치,성인기준 (어린이 50%),음식이 맛있어요,가성비가 좋아요,메뉴 구성이 알차요,친절해요,단체모임 하기 좋아요
따롱이훠궈 강남점,중식당,서울 서초구 서초대로73길 9 2층,점심 특선 세트(1~2인분),,음식이 맛있어요,재료가 신선해요,인테리어가 멋져요,매장이 넓어요,친절해요
난바우동&이자카야 사당본점,이자카야,서울 서초구 동작대로 56 1층,카라이 에비야끼,"우동면과 야채,새우를 매콤한 소스에 볶아낸 볶음요리",음식이 맛있어요,친절해요,인테리어가 멋져요,대화하기 좋아요,술이 다양해요
-,-,-,-,-,-,-,-,-,-
스위트파크신세계백화점강남점,"카페,디저트",서울 서초구 신반포로 176 센트럴시티,,,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
카츠공방 서초본점,돈가스,서울 서초구 효령로52길 1 1층,모듬카츠,,음식이 맛있어요,친절해요,재료가 신선해요,혼밥하기 좋아요,양이 많아요
화씨이육공 사당점,"육류,고기요리",서울 서초구 방배천로2길 15 1층 화씨이육공,몽둥이삼겹살,180g(2인분씩 주문 가능),음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,직접 잘 구워줘요
옥소반 교대역점,샤브샤브,서울 서초구 서초대로48길 32 1층,런치A세트-스키야키(미국산전각),"쇠고기(미국산전각80g)신선한야채,생계란,은행,두부,곤약,볶음밥or야끼우동(택1)",음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요
리에또,"스파게티,파스타전문",서울 서초구 방배천로4안길 20,식전빵,음식을 주문하면 서비스로 드리는 식전빵 입니다,음식이 맛있어요,가성비가 좋아요,양이 많아요,친절해요,재료가 신선해요
방배동쌀국수,베트남음식,서울 서초구 방배천로8길 34 1층 방배동쌀국수,양지쌀국수,,음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,혼밥하기 좋아요
진대감 교대점,소고기구이,서울 서초구 서초대로50길 62-9 한림빌딩,한우차돌삼합,"한우 1등급이상의 차돌박이와 서해안 키조개 관자, 그리고 곁들임 찬 세 가지 합",음식이 맛있어요,친절해요,특별한 메뉴가 있어요,재료가 신선해요,매장이 청결해요
고메램 강남점,양갈비,"서울 서초구 강남대로 359 대우도씨에빛 2차 지하 1층,",모듬양갈비,미식가의 양고기 고메램입니다. 프리미엄 양고기 비장탄 숯불구이 전문점입니다. 최고 등급의 와규 소고기도 같이 판매 하고 있습니다,음식이 맛있어요,고기 질이 좋아요,인테리어가 멋져요,친절해요,직접 잘 구워줘요
소호정 본점,국수,서울 서초구 논현로 27 소호정본관,안동국시,,음식이 맛있어요,친절해요,재료가 신선해요,특별한 메뉴가 있어요,주차하기 편해요
베이크샵 피봇,베이커리,서울 서초구 방배로23길 5 1층,어텀 온 더 피그,바작한 컵 타르트지 위에 가을 무화과가 와르르 ◡̈,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
은행골 강남역점,"초밥,롤",서울 서초구 서초대로75길 34 3층 은행골,특진초밥,"도로3,장새우2,엔까와2,장어2,연어3",음식이 맛있어요,재료가 신선해요,친절해요,매장이 넓어요,매장이 청결해요
-,-,-,-,-,-,-,-,-,-
해몽,"육류,고기요리",서울 서초구 사평대로56길 8 2층 해몽,등갈비(스페인산),전국no2.등갈비.. 저희가 지향하는..^^,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,고기 질이 좋아요,직접 잘 구워줘요
바베큐랩,"육류,고기요리",서울 서초구 마방로10길 18-13,이베리코목살,,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,고기 질이 좋아요,재료가 신선해요
조양관한정식,한정식,서울 서초구 서초대로74길 29 지하1층 조양관 한정식,코스)관,평일점심만 가능,음식이 맛있어요,재료가 신선해요,친절해요,차분한 분위기에요,단체모임 하기 좋아요
온유월솥뚜껑삼겹살 본점,돼지고기구이,서울 서초구 신반포로 219 반포쇼핑타운 8동 지하1층 13호,얼룩흑돼지 오겹살,"무항생제 얼룩흑돼지 오겹살로 쫀득한 껍데기와 풍미 좋은 지방, 고소한 살코기를 느낄수 있다",음식이 맛있어요,고기 질이 좋아요,친절해요,특별한 메뉴가 있어요,매장이 청결해요
미소의집,떡볶이,서울 서초구 신반포로 27-6 (한신상가 지하 2층),즉석떡볶이,,음식이 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,친절해요,양이 많아요
-,-,-,-,-,-,-,-,-,-
코르바니 서래마을,양식,서울 서초구 서래로 17 2층,초리조 오일파스타,초리조와 로즈마리 라드를 이용한 오일파스타 로즈마리 향과 초리조의 매콤함이어우러지는 파스타,음식이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,매장이 넓어요
우리황소곱창,"곱창,막창,양",서울 서초구 방배천로2길 41,더덕곱창,한우곱창구이 & 횡성산 더덕구이의 조합 ^^v,음식이 맛있어요,친절해요,양이 많아요,재료가 신선해요,고기 질이 좋아요
