"케르반 카페, 디저트&브런치",베이커리,서울 용산구 우사단로10길 17 1층,카이막2인세트,느끼함 없는 부드러운 카이막과 입안가득달콤한 꿀과 함께 라마단 피데와 함께 즐기는세트입니다,특별한 메뉴가 있어요,빵이 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
익선관 신용산점,한식,"서울 용산구 한강대로38길 11-22 1층,2층",익선관 오리 모듬 한상(4~5인),오리 한마리+동치미+찬 4종+소스 4종,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
월순철판동태찜 용산후암점,한식,서울 용산구 후암로 23-1 1층,철판 대구뽈찜,두툼한 생선살 가득한 대구목살은 부드럽게 쩌내에 마성의 중독 소스로 덮어낸 대구뽈찜,음식이 맛있어요,양이 많아요,친절해요,재료가 신선해요,매장이 청결해요
솥깨비,한식,"서울 용산구 한강대로80길 3-4 1,2층",모둠한근,생삼겹 + 생목살 + 돌돌이삼겹 + 삼 4뿌리 (고기600그람)이 제공됩니다,음식이 맛있어요,재료가 신선해요,가성비가 좋아요,양이 많아요,친절해요
우에노,일식당,서울 용산구 한강대로 166-1 2층,돈토로동 정식,,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,혼밥하기 좋아요,친절해요
꾸띠자르당,패밀리레스토랑,서울 용산구 보광로 120,어니언스프,모짜렐라치즈와 바게트를 올려 구운 어니언 스프.,인테리어가 멋져요,음식이 맛있어요,특별한 날 가기 좋아요,친절해요,특별한 메뉴가 있어요
버뮤다삼각지,"멕시코,남미음식","서울 용산구 한강대로52길 19 1,2층",폭립 플래터,24시간 수비드한 폭립과 사이드 메뉴,음식이 맛있어요,양이 많아요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
카나비,한식,서울 용산구 한강대로62길 55 4층,구운고등어 소면,"자반고등어와, 구포국수, 생강소스, 멸치육수로 맛을 낸 카나비의 시그니처 고등어 소면",음식이 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,재료가 신선해요
아르모니움,이탈리아음식,서울 용산구 대사관로 33 아르모니움,지중해식 문어 구이,"문어, 버섯 , 브로컬리, 컬리플라워, 무크림",음식이 맛있어요,친절해요,인테리어가 멋져요,특별한 날 가기 좋아요,뷰가 좋아요
신세대맥주 용산점,"맥주,호프",서울 용산구 한강대로62다길 1 1층 신세대맥주 용산점,신세대 생맥주,할라피뇨콘마요/스리라차마요/어니언마요 소스 택1 +400원,가성비가 좋아요,음식이 맛있어요,특별한 메뉴가 있어요,기본 안주가 좋아요,술이 다양해요
모모의기묘한모험,이자카야,서울 용산구 이태원로27가길 51 모모의 기묘한 모험,모모 시그니처 한판,맛있게 준비된 생연어+매콤육회+타코와사비+버팔로윙으로 다같이 즐기는 시그니처 한판,음식이 맛있어요,술이 다양해요,기본 안주가 좋아요,친절해요,대화하기 좋아요
