하늘아래작은마을,라이브카페,서울 강북구 삼양로181길 253 우이동미림산장,커피,"아메리카노5,000원 (낮 5시전 4,000원)",음식이 맛있어요,친절해요,오래 머무르기 좋아요,대화하기 좋아요,단체모임 하기 좋아요
다가온횟집,생선회,서울 강북구 삼양로92길 48 . 1층 1호(수유동),/푸짐한 구성/ 모듬 회 (광어+우럭+연어+제철 4종)(소 (기본 4종) 280접시),"광어 , 우럭, 연어 , 도다리, 도미등 제철 생선으로 다양한 스끼로 구성된 다가온 횟집만의 모듬 회",음식이 맛있어요,재료가 신선해요,가성비가 좋아요,양이 많아요,친절해요
강북끝집,"곱창,막창,양",서울 강북구 도봉로8길 62 1층 강북끝집,소곱창전골(사리무제한),이미 검증받은 강북지역 1위 미아리곱창전골을 강북끝집에서 드실 수 있습니다.,음식이 맛있어요,양이 많아요,가성비가 좋아요,친절해요,고기 질이 좋아요
오봉집 미아점,한식,서울 강북구 솔매로46길 6,낙지 오봉스페셜,직화낙지+보쌈+막국수,음식이 맛있어요,재료가 신선해요,친절해요,가성비가 좋아요,양이 많아요
오봉집 수유점,한식,서울 강북구 삼각산로 151 1층 오봉집 수유점,낙지오봉스페셜,볶음2인 + 보쌈 소 + 쟁반막국수,음식이 맛있어요,친절해요,재료가 신선해요,양이 많아요,매장이 넓어요
미아리 곰장어 아나고,"장어,먹장어요리",서울 강북구 월계로7가길 24 1층,아나고소금구이1인분,통영직송!!! 자연산 생 아나고 숯불구이 고소함과부드러운 조화 보양식메뉴!!,음식이 맛있어요,재료가 신선해요,친절해요,매장이 넓어요,특별한 메뉴가 있어요
중화문 롯데백화점 미아점,중식당,서울 강북구 도봉로 62 8층,클래식 세트,"""베스트 메뉴로만 구성된 2인 한상"" 한돈탕수육+중새우+유니짜장면+짬뽕+지마구",음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,매장이 청결해요
수유대왕솥뚜껑 삼겹살,"육류,고기요리",서울 강북구 도봉로87길 46 1층 일부,통삼겹반 통목살반 ( 600g ),저온숙성한 통삼겹반 통목살반 600g 한판에 김치 콩나물 미나리 부추에드시면 너무맛있습니다,음식이 맛있어요,고기 질이 좋아요,가성비가 좋아요,양이 많아요,매장이 넓어요
삼양돼지국밥 미아동 본점,국밥,서울 강북구 삼양로 172 1층,[여름별미] 초돈국수매운맛1단계N,시원상큼한 육수와 탱글한 면발에 시그니쳐 한돈수육 고기가 올라간 특별 여름 신메뉴,음식이 맛있어요,재료가 신선해요,양이 많아요,가성비가 좋아요,혼밥하기 좋아요
청년고기장수 수유점,돼지고기구이,서울 강북구 노해로 13 1층,제육쌈밥정식(평일 점심),평일 점심 11:00~15:00까지 이용 가능합니다.,음식이 맛있어요,고기 질이 좋아요,매장이 넓어요,가성비가 좋아요,양이 많아요
오빠화이팅 수유점,이자카야,서울 강북구 한천로140길 23-3 1층,카스생맥주(300ml),,음식이 맛있어요,술이 다양해요,가성비가 좋아요,인테리어가 멋져요,기본 안주가 좋아요
