서울생활사박물관,박물관,서울 노원구 동일로174길 27,유익해요,주차하기 편해요,전시 구성이 알차요,아이와 가기 좋아요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
석계역문화공원,근린공원,서울 노원구 월계동 56-5,뷰가 좋아요,볼거리가 많아요,먹거리가 풍부해요,관리가 잘 되어있어요,방문객이 많아요
화랑대 철도공원,"도시,테마공원",서울 노원구 공릉동 29-51,볼거리가 많아요,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요
육군박물관,박물관,서울 노원구 화랑로 574,유익해요,가격이 합리적이에요,주차하기 편해요,설명이 잘 되어있어요,공간이 넓어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
공릉목공예체험장 나무상상놀이터,"관람,체험",서울 노원구 화랑로 606 목공예체험장,친절해요,시설이 깔끔해요,수업 시간이 충분해요,원데이 클래스가 알차요,주차하기 편해요
-,-,-,-,-,-,-,-
불빛정원,자연공원,서울 노원구 화랑로 608,산책로가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요,편의시설이 잘 되어있어요,뷰가 좋아요
-,-,-,-,-,-,-,-
수락산,산,서울 노원구 상계동,뷰가 좋아요,사진이 잘 나와요,경관이 독특해요,붐비지 않아요,볼거리가 많아요
-,-,-,-,-,-,-,-
노해체육공원,"도시,테마공원",서울 노원구 노원로22길 1,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,붐비지 않아요,편의시설이 잘 되어있어요
불암산,산,서울 노원구 상계동,뷰가 좋아요,사진이 잘 나와요,경관이 독특해요,볼거리가 많아요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
불암산 산림치유센터,"도시,테마공원",서울 노원구 한글비석로12길 51-80,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,체험 프로그램이 다양해요,편의시설이 잘 되어있어요
상계근린공원,근린공원,서울 노원구 상계동 620,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,가격이 합리적이에요,사진이 잘 나와요
벽운계곡,계곡,서울 노원구 상계동,뷰가 좋아요,대중교통이 편해요,방문객이 많아요,피크닉하기 좋아요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
서울 태릉,세계문화유산,서울 노원구 화랑로 681,붐비지 않아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,주차하기 편해요
불암산철쭉동산,"도시,테마공원",서울 노원구 중계동 산45,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,방문객이 많아요
불암산 엘리베이터전망대,전망대,서울 노원구 중계동 산95-1,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,근처에 갈 곳이 많아요
당현천 음악분수,테마공원,서울 노원구 중계동 453-8,볼거리가 많아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요
-,-,-,-,-,-,-,-
