호암산,산,서울 관악구 신림동 산57-13,뷰가 좋아요,사진이 잘 나와요,조용히 쉬기 좋아요,대중교통이 편해요,붐비지 않아요
-,-,-,-,-,-,-,-
낙성대공원,"도시,테마공원",서울 관악구 낙성대로 77 낙성대공원,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,주차하기 편해요
-,-,-,-,-,-,-,-
관악산둘레길-관악구구간,도보코스,서울 관악구 봉천동 산41-1,뷰가 좋아요,산책로가 잘 되어있어요,가격이 합리적이에요,먹거리가 풍부해요,볼거리가 많아요
관악산호수공원,"도시,테마공원",서울 관악구 신림동 203,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,방문객이 많아요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
관악산자연공원,"자연,생태공원",서울 관악구 신림동 산27-1,산책로가 잘 되어있어요,뷰가 좋아요,볼거리가 많아요,대중교통이 편해요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
가을단풍길(관악산),계절거리,서울 관악구 신림동 산32-22,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요
타임스트림,"쇼핑센터,할인매장",서울 관악구 신림로 330 타임스트림,친절해요,종류가 다양해요,시설이 깔끔해요,품질이 좋아요,분위기가 편안해요
롯데백화점 관악점,백화점,서울 관악구 봉천로 209 롯데백화점관악점,친절해요,종류가 다양해요,품질이 좋아요,가성비가 좋아요,시설이 깔끔해요
-,-,-,-,-,-,-,-
고로커피로스터스,"카페,디저트",서울 관악구 남부순환로231길 33,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
북덕방,"카페,디저트",서울 관악구 봉천로 544-1 2층 201호,인테리어가 멋져요,커피가 맛있어요,친절해요,집중하기 좋아요,디저트가 맛있어요
아토커피 신림점,"카페,디저트",서울 관악구 관천로 79 1층,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,대화하기 좋아요,인테리어가 멋져요
앙뿌,"카페,디저트",서울 관악구 관악로14가길 6 1층,빵이 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,커피가 맛있어요,친절해요
코믹존 대림사,서점,서울 관악구 신림로 300 웅산빌딩 지하1층,책 종류가 다양해요,신간이 빨리 들어와요,독특한 책이 많아요,원하는 책을 찾기 쉬워요,시설이 깔끔해요
-,-,-,-,-,-,-,-
온고지신,"카페,디저트",서울 관악구 관악로14길 101 2층 온고지신 (2층으로 올라와주세요),인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요
디자이너리 카페,"카페,디저트",서울 관악구 관천로 71-1 4F,인테리어가 멋져요,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,음료가 맛있어요
카페더띤뚜,"카페,디저트",서울 관악구 관악로16길 41 지하1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,집중하기 좋아요
-,-,-,-,-,-,-,-
쟝블랑제리 낙성대본점,베이커리,서울 관악구 낙성대역길 8,빵이 맛있어요,특별한 메뉴가 있어요,가성비가 좋아요,친절해요,매장이 청결해요
카페 팃빗,"카페,디저트",서울 관악구 관악로14가길 6 2층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
스타벅스 신림DT점,카페,서울 관악구 남부순환로 1419 (신림동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
-,-,-,-,-,-,-,-
폼앤노말,"카페,디저트",서울 관악구 신림로67길 25 1층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,친절해요
마인드멜드,"카페,디저트",서울 관악구 관악로14길 22 2층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
아띠85도씨베이커리,베이커리,서울 관악구 쑥고개로 137,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
르네상스쇼핑몰,"쇼핑센터,할인매장",서울 관악구 신림로 340 르네상스복합쇼핑몰,주차하기 편해요,친절해요,종류가 다양해요,가성비가 좋아요,특색 있는 제품이 많아요
오르커피로스터스,"카페,디저트",서울 관악구 신림로58길 20 2층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요
