-,-,-,-,-,-,-,-
섬세이 테라리움,전시관,서울 성동구 서울숲2길 44-1 지하1층 섬세이 테라리움,사진이 잘 나와요,인테리어가 멋져요,친절해요,뷰가 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
반지공방 아뜰리에호수 성수,공방,서울 성동구 서울숲4길 15 2층,초보자에게도 적합해요,친절해요,시설이 깔끔해요,맞춤 수업을 잘해줘요,수업 시간이 충분해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
서울숲,"숲,숲길",서울 성동구 뚝섬로 273,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,피크닉하기 좋아요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
응봉산,산,서울 성동구 금호동4가 1540,뷰가 좋아요,사진이 잘 나와요,경관이 독특해요,산책로가 잘 되어있어요,볼거리가 많아요
달맞이봉공원,근린공원,서울 성동구 금호동4가 산27,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요,붐비지 않아요
청계천박물관,박물관,서울 성동구 청계천로 530 청계천박물관,유익해요,주차하기 편해요,전시 구성이 알차요,설명이 잘 되어있어요,전시 테마가 재밌어요
수도박물관,박물관,서울 성동구 왕십리로 27,유익해요,전시 테마가 재밌어요,설명이 잘 되어있어요,전시 구성이 알차요,사진이 잘 나와요
-,-,-,-,-,-,-,-
리얼월드 성수,"관람,체험",서울 성동구 연무장13길 8 메리히어 1층 리얼월드 성수,인테리어가 멋져요,친절해요,사진이 잘 나와요,매장이 청결해요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
성수동구두테마공원,"도시,테마공원",서울 성동구 연무장5길 9-26,가격이 합리적이에요,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요
체다앤올리,"카페,디저트",서울 성동구 서울숲2길 32-14 갤러리아포레 상가 102동 113호,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
대현산 장미원,근린공원,서울 성동구 독서당로63길 60,산책로가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요,뷰가 좋아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
서울숲 가족마당,근린공원,서울 성동구 성수동1가 685-37,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
까치화방 성수낙낙점,"카페,디저트","서울 성동구 아차산로17길 48 1층 R114호, 115호",디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
마를리,케이크전문,서울 성동구 연무장길 47 홍원빌딩,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
-,-,-,-,-,-,-,-
텅 성수 스페이스,"카페,디저트",서울 성동구 성수이로 82 2층,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
오버도즈도넛앤커피 성수,"카페,디저트",서울 성동구 왕십리로10길 19 1층,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
성수동대림창고갤러리,"카페,디저트",서울 성동구 성수이로 78,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,매장이 넓어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
LOOOP 루프 베이커리 카페,카페,서울 성동구 연무장5길 9-13 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 넓어요,음료가 맛있어요
-,-,-,-,-,-,-,-
카페 차 성수점,"카페,디저트",서울 성동구 서울숲6길 2 1층,음료가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,디저트가 맛있어요
-,-,-,-,-,-,-,-
플레이즈라운지,"키즈카페,실내놀이터",서울 성동구 서울숲2길 32-14 갤러리아포레 더몰 B104,매장이 청결해요,공간이 넓어요,놀거리가 많아요,부모도 쉬기 좋아요,안전하게 관리해요
센터커피 서울숲점,카페,서울 성동구 서울숲2길 28-11,커피가 맛있어요,뷰가 좋아요,친절해요,인테리어가 멋져요,음료가 맛있어요
-,-,-,-,-,-,-,-
네모네,"카페,디저트","서울 성동구 상원2길 6 1층, B1층",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
카페 할아버지공장,"카페,디저트",서울 성동구 성수이로7가길 9,인테리어가 멋져요,커피가 맛있어요,대화하기 좋아요,사진이 잘 나와요,음료가 맛있어요
-,-,-,-,-,-,-,-
어라운드데이,"카페,디저트",서울 성동구 서울숲2길 24-1 어라운드데이,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
제이홉숲 벤치정원,"도시,테마공원",서울 성동구 성수동1가 720,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요
베통 성수 플래그십,"카페,디저트",서울 성동구 연무장7가길 8 베통 성수,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
퍼먼트,베이커리,"서울 성동구 서울숲2길 37 1층 , 지하",빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
스탠다드브레드 성수,"카페,디저트",서울 성동구 성수이로18길 37 1층,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,특별한 메뉴가 있어요
마장축산물시장,시장,서울 성동구 마장로33길 53,친절해요,볼거리가 많아요,먹거리가 풍부해요,주차하기 편해요,시설이 깔끔해요
한정선,"카페,디저트",서울 성동구 연무장길 43-1 1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
로우키,카페,"서울 성동구 연무장3길 6 1층, B1층",커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
헬로방방 행당역점,"키즈카페,실내놀이터",서울 성동구 행당로 84 4층 헬로방방키즈카페,놀거리가 많아요,가격이 합리적이에요,부모도 쉬기 좋아요,친절해요,매장이 청결해요
5to7,"카페,디저트",서울 성동구 서울숲2길 44-13 1층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
아쿠아산타 성수카페,"카페,디저트",서울 성동구 연무장길 81 1층 107호,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
-,-,-,-,-,-,-,-
플래드카페 서울숲,"카페,디저트",서울 성동구 서울숲2길 12-7 1층,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요,디저트가 맛있어요,음료가 맛있어요
더가루 왕십리점,"키즈카페,실내놀이터",서울 성동구 청계천로 450 한승빌딩 8층,부모도 쉬기 좋아요,친절해요,매장이 청결해요,테마가 재미있어요,안전하게 관리해요
서울앵무새 성수점,"카페,디저트",서울 성동구 서울숲9길 3 B1~2F,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
어니언 성수,"카페,디저트",서울 성동구 아차산로9길 8 어니언,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
자연도소금빵in 성수,베이커리,서울 성동구 연무장길 56-1 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
-,-,-,-,-,-,-,-
크림라벨 서울숲 본점,케이크전문,서울 성동구 서울숲2길 34 1층,디저트가 맛있어요,친절해요,선물하기 좋아요,특별한 메뉴가 있어요,매장이 청결해요
-,-,-,-,-,-,-,-
밀도 성수점,베이커리,서울 성동구 왕십리로 96,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,음료가 맛있어요
살곶이다리,보물,서울 성동구 성수동1가 694-124,사진이 잘 나와요,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,야경이 멋져요
만동제과 성수점,베이커리,서울 성동구 성수이로 96 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
본지르르 성수,"카페,디저트","서울 성동구 광나루로4가길 13 B1, 1, 2층",인테리어가 멋져요,커피가 맛있어요,집중하기 좋아요,친절해요,대화하기 좋아요
바이닐 성수,테마카페,서울 성동구 아차산로 15-8 2층,인테리어가 멋져요,컨셉이 독특해요,사진이 잘 나와요,집중하기 좋아요,좌석이 편해요
비아트 성수,"카페,디저트",서울 성동구 아차산로5길 24-45 2층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,대화하기 좋아요
뜨아아아커피집,"카페,디저트",서울 성동구 고산자로12길 1-1,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
폴인레미유,"카페,디저트",서울 성동구 왕십리로14길 34-8,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
만십리,"카페,디저트","서울 성동구 무학봉길 82 1-3F, rooftop",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
구욱희씨 서울숲 본점,"카페,디저트","서울 성동구 서울숲4길 12-22 1, 2층",디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
코끼리베이글 성수,베이커리,서울 성동구 성수이로26길 17 1층,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요
쎄콩데live,"카페,디저트",서울 성동구 서울숲2길 34 2층,음식이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
카멜커피 성수점,"카페,디저트",서울 성동구 성덕정19길 6 1층,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
천상가옥,"카페,디저트",서울 성동구 성수이로14길 14 A동 3층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
성수 베이킹 스튜디오,베이커리,서울 성동구 서울숲2길 46 B1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
