서울상상나라,박물관,서울 광진구 능동로 216 서울상상나라,유익해요,체험 프로그램이 다양해요,전시 구성이 알차요,아이와 가기 좋아요,가격이 합리적이에요
서울어린이대공원,테마파크,서울 광진구 능동로 216,아이와 가기 좋아요,가격이 합리적이에요,놀이기구가 다양해요,볼거리가 많아요,주차하기 편해요
뚝섬한강공원,시민공원,서울 광진구 강변북로 139,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요,방문객이 많아요
서울어린이대공원동물원,동물원-일반,서울 광진구 능동로 216,볼거리가 많아요,규모가 커요,동물 관리가 잘 되어있어요,편의시설이 잘 되어있어요,아이와 가기 좋아요
서울어린이대공원놀이동산,테마파크,서울 광진구 능동로 216,아이와 가기 좋아요,놀이기구가 다양해요,볼거리가 많아요,가격이 합리적이에요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
아차산 어울림정원,"자연,생태공원",서울 광진구 워커힐로 127 아차산 생태공원,산책로가 잘 되어있어요,뷰가 좋아요,볼거리가 많아요,사진이 잘 나와요,편의시설이 잘 되어있어요
어린이대공원놀이동산,테마파크,서울 광진구 능동로 216 어린이대공원 놀이동산,아이와 가기 좋아요,볼거리가 많아요,놀이기구가 다양해요,사진이 잘 나와요,가격이 합리적이에요
서울어린이대공원식물원,"식물원,수목원",서울 광진구 능동로 216,산책로가 잘 되어있어요,볼거리가 많아요,신기한 식물이 많아요,편의시설이 잘 되어있어요,가격이 합리적이에요
-,-,-,-,-,-,-,-
광진숲나루,근린공원,서울 광진구 구의동 175-1,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,볼거리가 많아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
광진광장,근린공원,서울 광진구 광나루로 389 광진광장,관리가 잘 되어있어요,뷰가 좋아요,산책로가 잘 되어있어요,가격이 합리적이에요,주차하기 편해요
-,-,-,-,-,-,-,-
광진숲나루,근린공원,서울 광진구 구의동 175-1,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,볼거리가 많아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
뚝섬,섬,서울 광진구 자양동 435,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,아이와 가기 좋아요,피크닉하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
테크노마트하늘공원,근린공원,서울 광진구 광나루로56길 85,뷰가 좋아요,주차하기 편해요,볼거리가 많아요,산책로가 잘 되어있어요,편의시설이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
리프패럿 강변점,동물카페,서울 광진구 구의강변로 83 1층,동물을 배려한 환경이에요,친절해요,가격이 합리적이에요,컨셉이 독특해요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
퐁퐁플라워 건대센터,"키즈카페,실내놀이터",서울 광진구 아차산로 272 건대스타시티몰 B1층,놀거리가 많아요,매장이 청결해요,공간이 넓어요,가격이 합리적이에요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
롯데백화점 건대스타시티점,백화점,서울 광진구 능동로 92,친절해요,종류가 다양해요,품질이 좋아요,가성비가 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
캘리클럽 강변점,"키즈카페,실내놀이터",서울 광진구 광나루로56길 85 1층,놀거리가 많아요,친절해요,테마가 재미있어요,가격이 합리적이에요,매장이 청결해요
