망우 역사 문화공원,테마공원,서울 중랑구 망우로91길 2,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,관리가 잘 되어있어요,주차하기 편해요
용마폭포공원,"도시,테마공원",서울 중랑구 용마산로 250-12 용마폭포공원관리사무소,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,관리가 잘 되어있어요,주차하기 편해요
용마산,산,서울 중랑구 면목동,뷰가 좋아요,사진이 잘 나와요,대중교통이 편해요,붐비지 않아요,산책로가 잘 되어있어요
중랑장미공원,근린공원,서울 중랑구 묵동 375,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,관리가 잘 되어있어요,방문객이 많아요
용마랜드,촬영장소,서울 중랑구 망우로70길 118,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,붐비지 않아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
봉수대공원,근린공원,서울 중랑구 신내동 602-1,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,붐비지 않아요
중랑천,"강,하천",서울 중랑구 중화동,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,붐비지 않아요
중랑캠핑숲,"캠핑,야영장",서울 중랑구 망우로87길 110,바비큐 해먹기 좋아요 ,주차하기 편해요,깨끗해요,조용히 쉬기 좋아요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
봉화산,산,서울 중랑구 묵동,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,산책로가 잘 되어있어요,경관이 독특해요
-,-,-,-,-,-,-,-
사가정공원,"도시,테마공원",서울 중랑구 면목동 산50-26,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,관리가 잘 되어있어요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
중화수경공원,근린공원,서울 중랑구 중화동 381-3,뷰가 좋아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,가격이 합리적이에요,먹거리가 풍부해요
-,-,-,-,-,-,-,-
중화체육공원,"도시,테마공원",서울 중랑구 중화동 363,뷰가 좋아요,볼거리가 많아요,주차하기 편해요,가격이 합리적이에요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
면목역공원,근린공원,서울 중랑구 면목동 120-2,뷰가 좋아요,가격이 합리적이에요,관리가 잘 되어있어요,산책로가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
중랑천제3체육공원,"도시,테마공원",서울 중랑구 면목동 1049-12,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,체험 프로그램이 다양해요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
챔피언더블랙벨트 홈플러스 상봉점,"키즈카페,실내놀이터",서울 중랑구 망우로 353 홈플러스 상봉점 지하 2층,놀거리가 많아요,공간이 넓어요,주차하기 편해요,친절해요,매장이 청결해요
리프패럿 중랑구청점,동물카페,서울 중랑구 신내로 66 2층,동물을 배려한 환경이에요,친절해요,시설이 깔끔해요,가격이 합리적이에요,음료가 맛있어요
헬로방방 상봉점,"키즈카페,실내놀이터",서울 중랑구 상봉로 131 상봉듀오트리스 지하2층,놀거리가 많아요,매장이 청결해요,친절해요,가격이 합리적이에요,테마가 재미있어요
미니특공대테마파크 면목역점,"키즈카페,실내놀이터",서울 중랑구 겸재로 164,놀거리가 많아요,친절해요,매장이 청결해요,공간이 넓어요,가격이 합리적이에요
곰도리도리키즈카페,"키즈카페,실내놀이터",서울 중랑구 봉화산로 243 4층,놀거리가 많아요,매장이 청결해요,공간이 넓어요,가격이 합리적이에요,부모도 쉬기 좋아요
뛰노리방방 먹골역점,"키즈카페,실내놀이터",서울 중랑구 중랑역로 167 지층 엘림 빌딩 B1,친절해요,가격이 합리적이에요,매장이 청결해요,안전하게 관리해요,부모도 쉬기 좋아요
카페브릭,"카페,디저트",서울 중랑구 신내역로1길 127-11,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
우림시장,시장,서울 중랑구 망우로62길 52-4,친절해요,주차하기 편해요,볼거리가 많아요,먹거리가 풍부해요,가성비가 좋아요
모넬로 블럭 앤 퍼즐,"키즈카페,실내놀이터",서울 중랑구 양원역로10길 25 6층,매장이 청결해요,가격이 합리적이에요,친절해요,놀거리가 많아요,부모도 쉬기 좋아요
시즌모먼트,"카페,디저트",서울 중랑구 면목로95길 26 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
부자 책방,서점,서울 중랑구 동일로144가길 7 2층,아늑해요,인테리어가 멋져요,책 읽기 쾌적해요,책 종류가 다양해요,시설이 깔끔해요
-,-,-,-,-,-,-,-
오프아이디어,"카페,디저트","서울 중랑구 면목로45길 6 1,2층 오프아이디어",커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요,대화하기 좋아요
-,-,-,-,-,-,-,-
카페 포즈 중랑,"카페,디저트","서울 중랑구 동일로 951 롯데시네마 중랑관 1, 2층",커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요,매장이 청결해요
상상스케치 홈플러스 상봉점,"키즈카페,실내놀이터",서울 중랑구 망우로 353 홈플러스 상봉점 B2층 상상스케치,놀거리가 많아요,친절해요,부모도 쉬기 좋아요,체험 프로그램이 많아요,테마가 재미있어요
태릉어린이서점,서점,서울 중랑구 송림길 7 1층,책 종류가 다양해요,원하는 책을 찾기 쉬워요,시설이 깔끔해요,베스트셀러가 많아요,책 읽기 쾌적해요
-,-,-,-,-,-,-,-
FEEL EAT 필릿,"카페,디저트",서울 중랑구 송림길 5 1층 FEEL EAT,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
디오리진,"카페,디저트",서울 중랑구 망우로32길 7 1층,디저트가 맛있어요,커피가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
작은지구 파충류카페,"카페,디저트",서울 중랑구 중랑역로 121 1층 작은지구 카페,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
스타벅스 상봉점,카페,"서울 중랑구 상봉로 131 (상봉동, 상봉 듀오트리스 주상복합)",커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
소보심,베이커리,서울 중랑구 망우로 376 1층,빵이 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
스타벅스 사가정역점,카페,서울 중랑구 면목로 310,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
카페하인나 상봉점,"카페,디저트",서울 중랑구 망우로 166-17 우리빌딩 1층~4층,디저트가 맛있어요,커피가 맛있어요,뷰가 좋아요,음료가 맛있어요,특별한 메뉴가 있어요
스타벅스 묵동점,카페,"서울 중랑구 동일로 952 (묵동, 로프트원 태릉입구역) 1층",커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요
헤르헤르,"카페,디저트",서울 중랑구 사가정로 415 1층 102호,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
개인공간 망우역점,"카페,디저트",서울 중랑구 송림길 12 1층 카페 개인공간,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
연희제한복,한복대여,서울 중랑구 동일로 706 동화빌딩 연희제한복,옷이 예뻐요,친절해요,상담이 자세해요,옷이 다양해요,스타일 추천을 잘해줘요
PLMM 사가정점,"카페,디저트",서울 중랑구 면목로56길 12 1층,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
