난지캠핑장,"캠핑,야영장",서울 마포구 한강난지로 28,깨끗해요,바비큐 해먹기 좋아요 ,화장실이 잘 되어있어요,개수대가 잘 되어있어요,공용시설 관리가 잘돼요
호텔 나루 서울 엠갤러리,5성급,서울 마포구 마포대로 8 호텔 나루 서울 엠갤러리,뷰가 좋아요,친절해요,깨끗해요,호캉스하기 좋아요,침구가 좋아요
-,-,-,-,-,-,-,-
라이즈오토그래프컬렉션,4성급,서울 마포구 양화로 130,친절해요,침구가 좋아요,인테리어가 멋져요,호캉스하기 좋아요,깨끗해요
롯데시티호텔 마포,3성급,서울 마포구 마포대로 109,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
신라스테이 마포,3성급,서울 마포구 마포대로 83,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
스탠포드호텔코리아,4성급,서울 마포구 월드컵북로58길 15,친절해요,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,주차하기 편해요
L7 홍대,4성급,서울 마포구 양화로 141,침구가 좋아요,친절해요,대중교통이 편해요,깨끗해요,호캉스하기 좋아요
아만티 호텔 서울,4성급,서울 마포구 월드컵북로 31,주차하기 편해요,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요
홀리데이인 익스프레스 서울홍대,3성급,서울 마포구 양화로 188 애경타워 숙박시설동,친절해요,깨끗해요,뷰가 좋아요,조식이 맛있어요,침구가 좋아요
글래드 마포,4성급,서울 마포구 마포대로 92 효성해링턴스퀘어 A동 9층,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,호캉스하기 좋아요
홍대 준 게스트하우스,게스트하우스,서울 마포구 와우산로29나길 24-3,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,냉난방이 잘돼요,화장실이 잘 되어있어요
로이넷호텔 서울 마포,3성급,서울 마포구 마포대로 67,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,대중교통이 편해요
