강동그린웨이 가족캠핑장,"캠핑,야영장",서울 강동구 천호대로206길 87,깨끗해요,화장실이 잘 되어있어요,개수대가 잘 되어있어요,바비큐 해먹기 좋아요 ,조용히 쉬기 좋아요
천호 호텔H,2급,서울 강동구 구천면로24길 19,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
아리아호텔,호텔,서울 강동구 천호대로 1041-7,침구가 좋아요,깨끗해요,친절해요,대중교통이 편해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
월 호텔,모텔,서울 강동구 성안로 121,침구가 좋아요,친절해요,깨끗해요,주차하기 편해요,조용히 쉬기 좋아요
샘호텔,모텔,서울 강동구 천중로 197,깨끗해요,침구가 좋아요,방음이 잘돼요,친절해요,냉난방이 잘돼요
호텔8월 천호점,모텔,서울 강동구 구천면로24길 13,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,근처에 갈 곳이 많아요
발리관광호텔,1성급,서울 강동구 풍성로 210,깨끗해요,친절해요,조용히 쉬기 좋아요,대중교통이 편해요,침구가 좋아요
호텔이너스,호텔,서울 강동구 올림픽로72길 19,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,대중교통이 편해요
호텔 감,호텔,서울 강동구 천호대로159길 22-36,침구가 좋아요,조용히 쉬기 좋아요,친절해요,깨끗해요,방음이 잘돼요
히트호텔,모텔,서울 강동구 구천면로24길 28,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,주차하기 편해요
호텔야자 천호역점,모텔,서울 강동구 올림픽로70길 56-5,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
아르고호텔,3급,서울 강동구 진황도로 93,깨끗해요,침구가 좋아요,대중교통이 편해요,친절해요,주차하기 편해요
오라호텔,모텔,서울 강동구 양재대로109길 22,침구가 좋아요,깨끗해요,근처에 갈 곳이 많아요,방음이 잘돼요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
하모니 호텔,2성급,서울 강동구 천중로40길 63,깨끗해요,친절해요,조용히 쉬기 좋아요,침구가 좋아요,대중교통이 편해요
-,-,-,-,-,-,-,-
6월호텔,모텔,서울 강동구 올림픽로72길 19-4 호텔6월,조용히 쉬기 좋아요,친절해요,침구가 좋아요,깨끗해요,근처에 갈 곳이 많아요
채비스테이 둔촌점 카페 20BOON,"카페,디저트",서울 강동구 양재대로 1414 2층 단독건물,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,친절해요
바고관광호텔,모텔,서울 강동구 천중로 27,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,방음이 잘돼요
우진모텔,모텔,서울 강동구 동남로73길 17,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
스카이 모텔,모텔,서울 강동구 고덕로 42,친절해요,조용히 쉬기 좋아요,깨끗해요,주차하기 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
길동 오리엔트,모텔,서울 강동구 진황도로 105,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요
정다운인모텔,모텔,서울 강동구 올림픽로70길 56-10,침구가 좋아요,조용히 쉬기 좋아요,깨끗해요,친절해요,방음이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
윈(win)호텔,호텔,서울 강동구 천중로40길 77,깨끗해요,친절해요,침구가 좋아요,주차하기 편해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
무오래호텔,모텔,서울 강동구 올림픽로 654-5,친절해요,침구가 좋아요,조용히 쉬기 좋아요,깨끗해요,대중교통이 편해요
샘호텔,모텔,서울 강동구 천중로 197,깨끗해요,침구가 좋아요,방음이 잘돼요,친절해요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
하이센스모텔,모텔,서울 강동구 천중로42길 65,친절해요,깨끗해요,방음이 잘돼요,냉난방이 잘돼요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
그랜드 워커힐 서울,5성급,서울 광진구 워커힐로 177 그랜드워커힐 서울,친절해요,뷰가 좋아요,깨끗해요,호캉스하기 좋아요,주차하기 편해요
소피텔 앰배서더 서울 호텔 & 서비스드 레지던스,5성급,서울 송파구 잠실로 209,친절해요,호캉스하기 좋아요,뷰가 좋아요,깨끗해요,인테리어가 멋져요
롯데호텔 월드,5성급,서울 송파구 올림픽로 240,친절해요,즐길 거리가 많아요,깨끗해요,침구가 좋아요,주차하기 편해요
시그니엘 서울,5성급,서울 송파구 올림픽로 300,뷰가 좋아요,친절해요,호캉스하기 좋아요,침구가 좋아요,깨끗해요
비스타 워커힐 서울,5성급,서울 광진구 워커힐로 177 비스타 워커힐 서울,친절해요,뷰가 좋아요,호캉스하기 좋아요,깨끗해요,침구가 좋아요
서울올림픽파크텔,4급,서울 송파구 올림픽로 448,깨끗해요,친절해요,뷰가 좋아요,주차하기 편해요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
더글라스 하우스,5급,서울 광진구 워커힐로 177,친절해요,호캉스하기 좋아요,깨끗해요,조용히 쉬기 좋아요,뷰가 좋아요
딜라이트호텔,2성급,서울 송파구 오금로11길 21-9 딜라이트 호텔,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
오로시에 호텔,호텔,서울 송파구 오금로11길 21-19 오로시에 호텔,친절해요,침구가 좋아요,깨끗해요,인테리어가 멋져요,호캉스하기 좋아요
호텔 더 캐슬 방이,2급,서울 송파구 올림픽로32길 7,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,대중교통이 편해요
리버파크호텔,호텔,"경기 하남시 미사강변중앙로 160 미사 리버파크 8층,9층",친절해요,깨끗해요,침구가 좋아요,주차하기 편해요,조용히 쉬기 좋아요
나무호텔,2성급,서울 광진구 아차산로76가길 12,인테리어가 멋져요,조용히 쉬기 좋아요,깨끗해요,호캉스하기 좋아요,침구가 좋아요
레이크호텔,3성급,서울 송파구 석촌호수로 216 호텔 레이크,뷰가 좋아요,조용히 쉬기 좋아요,친절해요,깨끗해요,침구가 좋아요
Hotel 2.4,2성급,서울 송파구 오금로11길 55-16,친절해요,조식이 맛있어요,깨끗해요,주차하기 편해요,침구가 좋아요
-,-,-,-,-,-,-,-
호텔어반,모텔,서울 송파구 오금로11길 23-18,침구가 좋아요,깨끗해요,방음이 잘돼요,조용히 쉬기 좋아요,친절해요
앨리스 넥스트 도어 호텔,모텔,경기 하남시 미사강변중앙로170번길 10 앨리스넥스트도어호텔 8층,조용히 쉬기 좋아요,친절해요,대중교통이 편해요,냉난방이 잘돼요,깨끗해요
체리호텔,모텔,서울 송파구 오금로11길 11-15,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,화장실이 잘 되어있어요
그랜드 워커힐 서울,5성급,서울 광진구 워커힐로 177 그랜드워커힐 서울,친절해요,뷰가 좋아요,깨끗해요,호캉스하기 좋아요,주차하기 편해요
카사호텔,모텔,서울 송파구 올림픽로34길 7,깨끗해요,친절해요,조용히 쉬기 좋아요,침구가 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
셀레네 호텔,모텔,서울 송파구 오금로11길 21-15,친절해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
케빈스테이 게스트하우스,게스트하우스,서울 송파구 올림픽로32길 37-12 포커스 파크,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요,침구가 좋아요,친절해요
호스텔베네,2급,서울 송파구 오금로11길 29-15,친절해요,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,대중교통이 편해요
호텔트레비엔,모텔,"경기 하남시 미사강변중앙로 164 미타워 9층,10층",침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,방음이 잘돼요
아크모스 호텔,호텔,경기 하남시 미사강변중앙로 164 미타워 11층,깨끗해요,침구가 좋아요,주차하기 편해요,친절해요,방음이 잘돼요
호텔 더 캐슬 방이2호점,1성급,서울 송파구 올림픽로32길 7-1,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,대중교통이 편해요
-,-,-,-,-,-,-,-
