자마버거 이대점,햄버거,서울 서대문구 연세로2마길 17 1층,빅오리지널 버거 180g,"자마 시그니처 버거! 육즙 팡팡 신선한 수제 패티 180g,(로메인, 카라멜라이징 어니언) 두번 구운 카라멜라이징 어니언이 펼쳐내는 진한 풍미!",음식이 맛있어요,재료가 신선해요,양이 많아요,친절해요,인테리어가 멋져요
카페 모래내 1번지,"카페,디저트",서울 서대문구 수색로 43 1층 Cafe 카페 모래내 1번지,에스프레소,ESPRESSO,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요,음료가 맛있어요
만동제과 연남점,베이커리,서울 서대문구 연희로 32,카푸치노,바닐라 크림이 들어가고 커피 카스테라를 곱게 갈아 묻힌 부드러운 커피빵,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
보케,"카페,디저트",서울 서대문구 연희로 116 2층 좌측,네잎클로버케이크,,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,사진이 잘 나와요
파이홀,카페,서울 서대문구 연세로5나길 20,얼그레이가나슈,,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
10593 베이글커피하우스 신촌점,"카페,디저트",서울 서대문구 명물길 28 1층,아몬드클라우드,"달콤한 연유 베이스와 고소하고 부드러운 아몬드 베이스, 향긋한 에스프레소의 조화",디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,음식이 맛있어요
푸어링아웃,"카페,디저트",서울 서대문구 연희로11나길 7-7 반지층 카페 (푸어링아웃),black 아메리카노,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요
연희 에스프레소 바,"카페,디저트",서울 서대문구 연희로11가길 39 1층,연희 에스프레소,직접 만든 오렌지 잼 & 오렌지 시럽 + 에스프레소 + 크림,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,음료가 맛있어요
카페폭포,"카페,디저트",서울 서대문구 연희로 262-24,에스프레소,,뷰가 좋아요,커피가 맛있어요,사진이 잘 나와요,대화하기 좋아요,야외공간이 멋져요
에뚜왈 신촌점,베이커리,서울 서대문구 연세로 3-3 1층 105호,마들렌,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,디저트가 맛있어요,매장이 청결해요
waffle it up,카페,서울 서대문구 이화여대3길 42-19,생파인애플빙수,,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,친절해요
피터팬1978,베이커리,서울 서대문구 증가로 10,아기궁댕이,수요미식회에 출연한 아기궁댕이(NO계란 ). 타피오카 성분을 더해 빵이 쫄깃하고 고소한 크림치즈가 가득 들어 있어요 :,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
니치니치 베이커리,베이커리,서울 서대문구 세무서8길 30 홍제역 해링턴플레이스 상가1층 22호 니치니치 베이커리,니치,1,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
프로토콜 연희점,"카페,디저트",서울 서대문구 연희로 109 2층,필터커피,원두별 가격 상이,커피가 맛있어요,집중하기 좋아요,인테리어가 멋져요,친절해요,사진이 잘 나와요
고유,"카페,디저트",서울 서대문구 연희로 90-1 2층 202호,메론 이튼메스,생멜론 퓨레와 생멜론 위에 정성껏 구워낸 머랭쿠키와 생크림을 얹은 시그니처 디저트,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
새라울,"카페,디저트",서울 서대문구 연희로27길 99,시그니처 호두과자,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
티앙팡 오후의 홍차,카페,서울 서대문구 이화여대길 34 2층,크렘브륄레,바닐라빈을 갈아 생크림에 재워둔 후 구워 얇게 카라멜라이즈하여 만든 달콤한 커스터드 디저트,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,대화하기 좋아요
본지르르 연희,카페,서울 서대문구 연희로 189-16 단독주택,크림 슈,,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,뷰가 좋아요
쓰리어클락 연희,카페,서울 서대문구 연희로25길 66 지층,[예약]오렌지 치즈 수플레 타르트,"[하루 전 예약 필수, 홀 메뉴가 아닌 포장 only] 500번 시도 끝에 나온 수플레",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
오르랔베이커리,베이커리,서울 서대문구 신촌로 241,옥수수 크러핀,"덴마크산 버터를 사용하여 깊은 풍미를 내는 소금빵[빵나오는시간11시,3시]",빵이 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
트리클,카페,"서울 서대문구 연세로 3-3 104호, 204호",시그니쳐 버터토스트,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,집중하기 좋아요,대화하기 좋아요
