그루타,"카페,디저트",서울 동작구 사당로26길 77 1층,바나나푸딩,그루타 베스트메뉴! 달달하고 부드러운 바나나푸딩,커피가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
유니네탕후루 사당점,"카페,디저트",서울 동작구 사당로16길 39 1층,눈꽃 빙수 1+1 이벤트인기,하나만 먹으면 아쉬운데 두개는 먹어줘야하지만 가격 고민된다면 이걸로!!,디저트가 맛있어요,친절해요,가성비가 좋아요,매장이 청결해요,특별한 메뉴가 있어요
머치커피,"카페,디저트",서울 동작구 동작대로9길 43 1층,너티크림모카,고소한 아몬드와 달달한 크림이 조화를 이룬 커피,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요
온클라우드나인,"카페,디저트",서울 동작구 사당로26길 109 1층 101호 온클라우드나인,오란다 휘낭시에N,추억의 맛 오란다 를 휘낭시에 로 드셔보세요~~,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
부강탕,베이커리,서울 동작구 상도로34길 7 부강탕,에그스 베네딕 (햄),고소한 홀랜다이즈 소스와 수란을 바삭한 터키쉬 브레드에 위에 그릴햄,인테리어가 멋져요,커피가 맛있어요,빵이 맛있어요,친절해요,사진이 잘 나와요
베이크가든,"카페,디저트","서울 동작구 사당로28길 10-1 1층, 2층",아메리카노,,디저트가 맛있어요,인테리어가 멋져요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요
Deweet,"카페,디저트",서울 동작구 대방동1길 10 1층,[패스오더전용] 100원 아메리카노,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지",디저트가 맛있어요,친절해요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
페니힐스 커피스테이션,카페,"서울 동작구 동작대로1길 10-14 새롬빌딩 1,2층",티라미수라떼,시그니처라떼,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
더한강,"카페,디저트","서울 동작구 노량진로32길 29-6 1, 2층",트와일라잇 피즈,상큼하고 청량한 느낌을 주는 더한강 시그니처 에이드,뷰가 좋아요,커피가 맛있어요,사진이 잘 나와요,인테리어가 멋져요,디저트가 맛있어요
본디헤어,미용실,서울 금천구 시흥대로 399 시티렉스 3층 321호,,,친절해요,원하는 스타일로 잘해줘요,시술이 꼼꼼해요,스타일 추천을 잘해줘요,트렌디해요
더머커피 신대방삼거리,"카페,디저트",서울 동작구 보라매로 91 1층 더머커피,[패스오더전용] 100원 아메리카노,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지",커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요
도로도로커피숍,"카페,디저트",서울 동작구 노량진로 145 1층,도로도로 아인슈페너,꼬수운 라떼위에 부드러운 크림이 올라가요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
카멜커피 상도점,"카페,디저트","서울 동작구 양녕로36길 12 1, 2층",Camel Coffee (카멜커피),진한 라떼(플랫화이트) 베이스에 실키한 크림이 얇게 올라간 시그니처 커피,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,사진이 잘 나와요,대화하기 좋아요
베리굳베이글 이수점,베이커리,서울 동작구 동작대로 187 1층,카야버터 베이글,,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,매장이 청결해요
터방내,카페,서울 동작구 흑석로 101-7,커피,,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,대화하기 좋아요,음료가 맛있어요
두댓커피,"카페,디저트",서울 동작구 상도로15길 55 1층 101호,통고구마브륄레,꿀맛!,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
프랑세즈,베이커리,서울 동작구 현충로 96,망고생크림,동물성 우유생크림 100% 생과일 망고를 사용합니다*,빵이 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요
쟝블랑제리 이수직영점,베이커리,서울 동작구 동작대로23길 8,단팥빵,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
시너리,"카페,디저트",서울 동작구 사당로25가길 1 1층,브라운치즈크로플,,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
세녹,홍차전문점,서울 동작구 사당로 304,아메리카노,,차가 맛있어요,집중하기 좋아요,음료가 맛있어요,대화하기 좋아요,좌석이 편해요
브레드숨,베이커리,서울 동작구 노량진로24길 2 상가101호 브레드숨(초록색어닝간판),100%우유식빵,best,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
비펌킨카페,브런치카페,서울 동작구 사당로 273-1 1층,단호박뇨끼,"구운 단호박으로 만든 소스와 뇨끼 조미료, 향신료 사용하지 않아 건강하고 달콤한 맛",음식이 맛있어요,특별한 메뉴가 있어요,건강한 맛이에요,아늑해요,친절해요
파니모들,"카페,디저트",서울 동작구 동작대로 153 원옥빌딩 1층,자스민우롱N,,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
우부래도,베이커리,서울 동작구 상도로37길 3,단호박 머핀,,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
고미제과,베이커리,서울 동작구 만양로14다길 19 1층 102호 고미제과,푸딩,"바닐라 커스터드, 딥초코 가나슈, 초당옥수수 커스터드(여름한정)",빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
액션커피,"카페,디저트",서울 동작구 서달로15길 23 액션커피,창경궁,액션커피의 시그니쳐 메뉴로서 티와 커피의 중간느낌으로 산뜻하고 화려하면서 입안을 감싸는 향,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,비싼 만큼 가치있어요
레스트어와일,"카페,디저트",서울 동작구 보라매로7가길 4 1층상가,카야무염버터토스트,달콤한연유라떼 위에 바닐라빈이 들어간 시그니처 크림을 올린 음료.,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
사당1038,"카페,디저트",서울 동작구 동작대로3길 45 1층,무화과크림치즈휘낭시에,프랑스산 고메버터를 태워 헤이즐럿버터로 만든 반죽에 매장에서 직접 졸인 무화과를 넣어 만든 휘낭시에 입니다.,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요
-,-,-,-,-,-,-,-,-,-
손수담,"카페,디저트",서울 동작구 여의대방로24사길 8 102호,화과자 1人set,음료1 + 화과자1 + 약과 + 한과 + 양갱 +음료 선택 1잔,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요,커피가 맛있어요
클라소피,"카페,디저트",서울 동작구 여의대방로22길 94 클라소피,아메리카노인기,좋은 바디감과 균형 잡힌 향미의 블랙 커피,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
페이브베이커리 흑석점,"카페,디저트",서울 동작구 서달로14가길 1 1층 페이브,수박주스N,100% 수박 착즙주스로 뜨거운 여름을 이길 수 있는 시원한 음료.,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
우니꼬케이크,케이크전문,서울 동작구 사당로22길 15 1층 105호,당일 케이크 (문구 수정 가능),문구 수정 가능한 당일 케이크 (지름 10cm) 1~2인용 케이크입니다 :),디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,주문제작을 잘해줘요,선물하기 좋아요
요거트아이스크림의정석 중앙대점,아이스크림,서울 동작구 노량진로 227 B1F,초코쉘+요거트 아이스크림,요아정의 새로운 토핑초코쉘 초코쉘 20g이 요거트 아이스크림 위에,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,메뉴 구성이 알차요
레이네 케이크,케이크전문,서울 동작구 사당로 271 2층,생과일 후르츠산도,부드러운 카스테라에 100% 동물성 생크림과 다양한 생과일/고구마 등으로 구성 된 산도🤍,디저트가 맛있어요,친절해요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요
매니폴드,카페,서울 동작구 상도로15길 3 2층,딸기코코넛,"도시락케이크 / 미니케이크 / 1호케이크 / 2호케이크 / 3호케이크 +하트, 사각케이크",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
동작카페,"카페,디저트",서울 동작구 노량진로8길 60 1층,아메리카노,,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요
FOLD,"카페,디저트",서울 동작구 만양로14가길 8 1층,브라운 치즈 크로플,브라운 치즈와 바닐라 아이스크림으로 단짠단짠 궁합이 제일 잘 어울려요.,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,친절해요,가성비가 좋아요
카페 좋아진다,"카페,디저트",서울 동작구 사당로26길 87 1층 카페좋아진다,아인슈페너,고소한 카페라떼,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
-,-,-,-,-,-,-,-,-,-
뚱보롱,베이커리,서울 동작구 사당로17길 9 1층,떠먹는마카롱(과일은 변동됩니다),"마스카포네를 베이스로 만든 크림, 꼬끄, 과일콩포트,생과일이 레이어드된 떠먹는형식의 마카롱",특별한 메뉴가 있어요,친절해요,빵이 맛있어요,가성비가 좋아요,매장이 청결해요
노핸들,"카페,디저트",서울 동작구 동작대로9길 52 1층,두바이 초코 르뱅쿠키,가을 대표재료중 하나인 밤을 이용한 크림커피 입니다(원하시면 커피없이도 가능합니다),커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
네오베이커리,베이커리,서울 동작구 사당로26길 111 1층 전봇대 옆 NEObakery,바게트,씹을수록 고소한 프랑스전통바게트입니다,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
더빈마켓,"카페,디저트",서울 동작구 여의대방로24길 65 1층 더빈마켓,플랫화이트대표,,커피가 맛있어요,디저트가 맛있어요,친절해요,매장이 청결해요,음료가 맛있어요
미들도어,"카페,디저트",서울 동작구 흑석로6길 12 1층,두바이초코 휘낭시에,"달달한 초콜릿, 바삭바삭한 카다이프, 고소한 피스타치오 스프레드가 들어갔어요 🍫🍫",디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요
