원더케이크,케이크전문,서울 서초구 효령로53길 18 석탑 오피스텔 103호,버터플라워케이크미니,높이14cm이상,주문제작을 잘해줘요,디저트가 맛있어요,선물하기 좋아요,친절해요,가성비가 좋아요
-,-,-,-,-,-,-,-,-,-
카페 이로,"카페,디저트","서울 서초구 반포대로30길 32 1층, 지하1층",해치의 신수림 [하],,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,사진이 잘 나와요
프릳츠 양재점,"카페,디저트",서울 서초구 강남대로37길 24-11,에스프레소,5500원 부터,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요
오우아,"카페,디저트",서울 서초구 방배천로6길 3-4 1층,단호박케이크,오우아의 모든 메뉴는 매장에서 직접 만들어집니다.,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요
스위트파크신세계백화점강남점,"카페,디저트",서울 서초구 신반포로 176 센트럴시티,,,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,음료가 맛있어요
미니말레 커피뢰스터 양재본점,"카페,디저트",서울 서초구 강남대로10길 32,수제 뉴욕 쿠키 (라즈베리 크림치즈)N,크랜베리가 들어간 버터쿠키에 직접 끓인 산딸기잼과 프랑스산 크림치즈가 가득한 새콤달콤한 쿠키,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
챱챱케이크,케이크전문,서울 서초구 서초중앙로 110 104호 1층 대로변,벌스데이 보틀케이크 (고정문구),지름 19센티의 해피벌스데이 보틀 케이크 솔드아웃없이 매일판매합니다 *문구변경 안되는 버전,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요,사진이 잘 나와요
베이크샵 피봇,베이커리,서울 서초구 방배로23길 5 1층,어텀 온 더 피그,바작한 컵 타르트지 위에 가을 무화과가 와르르 ◡̈,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
루엘드파리,베이커리,서울 서초구 서초중앙로 18 서초쌍용플래티넘 112호,오리지날 크루아상,"최고급 버터와 재료, 충분한 발효 시간으로 바삭하게 구워낸 깊은 맛의 프랑스 정통 크루아상",빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,인테리어가 멋져요
노빅딜 하우스,"카페,디저트",서울 서초구 양재천로 125 1층,NBD 라떼,(ICED ONLY),인테리어가 멋져요,커피가 맛있어요,친절해요,사진이 잘 나와요,음료가 맛있어요
태양커피 방배점,테이크아웃커피,서울 서초구 서초대로25길 55 1층,롱블랙,,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,가성비가 좋아요
토다 베이글 본점,베이글,서울 서초구 성촌6길 39,베이글,정통 뉴욕스타일의 베이글을 매장에서 직접 굽습니다. 겉은 바삭하고 속은 부드럽고 쫄깃하며 끝맛에 고소한 향미가 나는 정통 뉴욕식 베이글입니다.,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요,특별한 메뉴가 있어요
몬탁,베이커리,서울 서초구 서초대로32길 8 1층,휘낭시에,"고급 바닐라 빈을 사용하여 바닐라 빈의 풍부한 향미와 다크럼을 사용하여 풍미를 더한 겉은 바삭하고 속은 촉촉한 프랑스 디저트, 까눌레 입니다",빵이 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
비지엠커피,"카페,디저트",서울 서초구 방배천로2길 51 1층,아메리카노,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
산도,브런치카페,서울 서초구 서초대로56길 38 1층,가츠산도,120시간 숙성한 흑돼지 안심에 직접구워 만든 빵가루를 사용하여 특별한 풍미와 바삭함,음식이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,디저트가 맛있어요
카페드리옹 서래본점,카페,서울 서초구 서래로7길 18 1층 카페드리옹,바닐라 밀푀유(피스(Piece)),진한 바닐라 풍미와 천 개의 잎사귀라 불리는 디저트로 리옹의 시그니처 입니다.,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
라미스콘 방배점,"카페,디저트",서울 서초구 방배천로8길 19 1층,수플레치즈케이크 (와썹맨인정),"와썹맨이 인정한 수플레치즈케이크,수플레초코케이크",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
깁미스모어,"카페,디저트",서울 서초구 방배천로8길 31 1층,아메리카노,,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,친절해요
태양커피 사당점,카페,서울 서초구 방배천로 32 송암빌딩 1층,바닐라라떼,,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요,매장이 청결해요
서초커피작업실Gilmajoong gil,카페,서울 서초구 서운로1길 25 1층,나물리카노(기본)인기대표,서커작의 깨끗하고 풍미가 깊은 기본아메리카노 입니다.,커피가 맛있어요,친절해요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요
빈브라더스 파미에스테이션,카페,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP203호,드립커피,원두에 따라 가격이 달라집니다.,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
댕크,"카페,디저트",서울 서초구 사평대로57길 96 1층 댕크,아메리카노,Dark brown. 묵직하고 꼬수운 댕크 아메리카노,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
가리게트 강남점,"카페,디저트",서울 서초구 신반포로 176 신세계 강남점 지하1층 스위트파크,나폴레옹,스페셜 커스터드 크림 & 스트로베리,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
오쎄,"카페,디저트","서울 서초구 방배천로4안길 32 1&2층 카페, 테라스 카페",블루레모네이드,생레몬과 자연꿀이 들어간 상큼한 에이드,인테리어가 멋져요,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
거북이,"카페,디저트",서울 서초구 방배천로4안길 48 1층,피스타치오라즈베리,,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요
피노,"카페,디저트",서울 서초구 사평대로57길 39-1 1층,숲라떼,달콤한 크림과 쑥의 만남,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,대화하기 좋아요
쎄봉 크루아상 크로플마을,"카페,디저트",서울 서초구 방배천로2안길 45 1층,진짜 카다이프로만든 두바이 크루아상,생 카다이프가 들어간 찐 두바이 초코 레시피로 만든 진짜 두바이 초코 크루아상,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
복호두 강남역점,호두과자,서울 서초구 강남대로 375 104호 복호두 강남역점,[패스오더전용] 100원 아메리카노,"패스오더 앱 설치하면, 최소 주문 금액 없이 100원에 커피 주문+1,500원 쿠폰까지",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
치플레 신세계강남,베이커리,서울 서초구 신반포로 176 신세계백화점 강남점 B1층 치플레,미니 수플레치즈케이크 4개입,원하시는 맛을 골라주시면 담아드립니다.,빵이 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
올드페리도넛 사당점,도넛,서울 서초구 동작대로 36 1층 101호,PB&J (피넛잼+라즈베리잼의 조합),프랑스 디저트 크림브륄레 스타일의 커스터드 크림으로 꽉 채워진 시그니쳐 도넛,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
비파티세리 센트럴시티점,베이커리,서울 서초구 신반포로 176 신세계 센트럴시티 1층 116호,퀸아망 베리 크림치즈N,Kouign amann Berry Creamcheese 비파티세리의 클래식 퀸아망에 상큼한 라즈베리 퓌레와 부드러운 크림치즈의 조화,빵이 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
까페라리 서초점,카페,서울 서초구 서초중앙로2길 37,"오렌지,딸기타르트",,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
노티드 강남카카오,카페,서울 서초구 강남대로 429,딸기우유 생크림 도넛,,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,커피가 맛있어요
잔상,"카페,디저트",서울 서초구 언남1길 3 1층,잔상커피,견과류베이스에 에스프레스를 덮어 드실수록 고소한 음료,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
앨리스프로젝트,"카페,디저트",서울 서초구 양재천로 107-4 1층 앨리스프로젝트,비트&파슬리,"비트 소르베, 파슬리 그라니타, 레몬 젤리의 조합으로 이루어진 플레이팅 디저트",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
보스베이글웍스 방배점,카페,서울 서초구 서초대로25길 54,명란 감태 베이글,"명란, 향긋한 감태가 조화롭게 들어간 베이글",디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,커피가 맛있어요,친절해요
하프커피 파미에스테이션,카페,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP212호,버터크림라떼,[only iced],커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요,디저트가 맛있어요
모센트 양재점,"카페,디저트",서울 서초구 양재천로29길 21 1층 102호,핸드드립,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
가배도 강남점,카페,서울 서초구 강남대로 405 1층,말차 라떼,고급 말차 파우더를 사용한 부드러운 말차라떼,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,인테리어가 멋져요,대화하기 좋아요
빈브라더스 파미에스테이션,카페,서울 서초구 사평대로 205 센트럴시티 파미에스테이션 2층 FP203호,드립커피,원두에 따라 가격이 달라집니다.,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,특별한 메뉴가 있어요
커피스니퍼 신세계백화점 강남점,카페,서울 서초구 신반포로 176 신세계백화점 강남점 지하1층,스니퍼 라떼,,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
카페 아뜰리에,"카페,디저트",서울 서초구 방배천로4길 48 1층,시그니처라떼,,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요,친절해요
테라로사 예술의전당점,카페,서울 서초구 남부순환로 2406 예술의전당 비타민 스테이션 1층,실론시나몬라테,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,매장이 청결해요
토다 베이글 서초점,베이글,서울 서초구 반포대로14길 26 드림타워 1층,베이글,,빵이 맛있어요,커피가 맛있어요,매장이 청결해요,특별한 메뉴가 있어요,친절해요
좋은아침페스츄리 양재점,베이커리,서울 서초구 바우뫼로37길 18 제이프러스빌딩,오리지널 크로와상,,빵이 맛있어요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요,매장이 청결해요
에이리셉션,"카페,디저트","서울 서초구 마방로 44-1 1층(양재동, 부광빌딩) 에이리셉션",Brownie Cream Latte,아이스크림 라떼 위에 매장에서 직접 만든 브라우니한조각이 올라간 시그니처 커피,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
비밀베이커리 예술의전당점,베이커리,서울 서초구 반포대로 4,잠봉뵈르 샌드위치,치아바타와 드레싱 포함,빵이 맛있어요,가성비가 좋아요,친절해요,커피가 맛있어요,특별한 메뉴가 있어요
라이프브레드 방배본점,베이커리,서울 서초구 서초대로34길 19 1층,당근라페 샌드위치N,"구수한 빵에 홀그레인 머스터드, 베이컨, 루꼴라, 당근라페까지 가득 넣은 식사용 샌드위치",빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,인테리어가 멋져요
크레미엘,베이커리,"서울 서초구 양재천로21길 3 1층(양재동, 디와이빌딩)",팡오쇼콜라,,빵이 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요,매장이 청결해요
