-,-,-,-,-,-,-,-,-,-
어스핸드위치,브런치,서울 성북구 동소문로22길 60 동선마루채 2층,사워크림포테이토N,"벨기에산 최상급 감자튀김, 사워크림, 베이컨칩",음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,아늑해요
유목커피바,"카페,디저트",서울 성북구 동소문로24길 47,Banana pudding 바나나푸딩,카라멜 라이징한 바나나를 넣어 만든 촉촉한 파운드 케이크를 오븐에 한번 구운 후 하겐다즈 아이스크림을 올려 겉은 바삭하게 속은 촉촉하게 즐길 수 잇는 달달한 디저트,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,매장이 청결해요
프럼크릭,"카페,디저트",서울 성북구 성북로 149-1 프럼크릭,바스크치즈케이크,스페인 바스크 전통방식으로 구워낸 수제 치즈케이크,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
밀곳간,베이커리,서울 성북구 성북로18길 19 1층,[비건빵] 사워도우 브레드,16시간 저온 숙성 과정을 거쳐 부드러운 산미와 풍부한 밀의 향이 일품인 식사빵,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
뮈에,카페,서울 성북구 돌곶이로 205 1층,프렌치크루아상,벙커 커피와 함께합니다.,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,음료가 맛있어요
나폴레옹과자점 본점,베이커리,서울 성북구 성북로 7 나폴레옹과자점,고소한 맛 사라다빵,매일 직접 손질하는 신선한 야채와 계란 & 감자가 들어가는 나폴레옹과자점 시그니처 빵!,빵이 맛있어요,특별한 메뉴가 있어요,매장이 청결해요,친절해요,커피가 맛있어요
와플앨리,와플,서울 성북구 고려대로28길 21,와플 젤라또 set,와플2조각.젤라또1스쿱. 생크림이 제공됩니다,디저트가 맛있어요,커피가 맛있어요,집중하기 좋아요,음료가 맛있어요,대화하기 좋아요
liike coffee,카페,서울 성북구 보문로34가길 24 1층 리이케 커피,drip coffee,원두 리스트는 정기적으로 변동됩니다.,커피가 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,대화하기 좋아요
카페야벳,"카페,디저트",서울 성북구 화랑로 90-20 1층,얼그레이 무화과 케이크(9~시즌메뉴),9월~무화과 철 시즌메뉴 싱싱한 무화과 + 야벳 얼그레이 수제크림 조합 꼭 드셔보세요 !,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
카페바틈,"카페,디저트",서울 성북구 동소문로 37 1층~5층,JLT 호밀 샌드위치,,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,집중하기 좋아요,음료가 맛있어요
샘케이크,케이크전문,서울 성북구 정릉로34길 11 1층 샘케이크,쿠키슈,,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
카페 기쁜소식 cafe kiso,"카페,디저트",서울 성북구 종암로10길 26 1층,후르츠산도,부드러운 생크림과 과일로 채운 후르츠산도,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요
해로커피,카페,서울 성북구 성북로 19-3,드립커피,제철 커피를 소개하기위해 라인업이 변경됩니다:),커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,대화하기 좋아요
Los Dias,"카페,디저트",서울 성북구 동소문로22길 67 2층 cafe los dias,(쌀) 인절미쉬폰케이크 GF,부드러운 쉬폰 시트에 고소한 인절미크림과 떡이 올라간 촉촉한 쌀케이크입니다.,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
마가밀,카페,서울 성북구 고려대로8길 35,레몬 마들렌 (순수한데 강렬한),마가밀 비법 베이스 위에 에스프레소,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,특별한 메뉴가 있어요
성북동빵공장,베이커리,서울 성북구 대사관로 40 B동,성북동식빵,"담백하고 부드러운 식빵 & 쫀득하고 달콤한 타피오카, 강남콩 충전물",빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,뷰가 좋아요,인테리어가 멋져요
더홈서울,"카페,디저트",서울 성북구 고려대로1길 87 더홈서울,핸드드립커피,,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,음료가 맛있어요
카페 시와,"카페,디저트",서울 성북구 동소문로23길 40-1,브루잉 커피,에티오피아 비샬라,커피가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요
