레애케이크,케이크전문,서울 금천구 시흥대로73길 11 무지개상가 2층 205호,미니돔,1호기준,선물하기 좋아요,친절해요,특별한 메뉴가 있어요,디저트가 맛있어요,사진이 잘 나와요
꿈떡꿈떡 독산역점,떡볶이,서울 금천구 가산디지털1로 16 1층 112-R호,꿈떡 로제떡볶이 1인분,떡+어묵+양배추+계란+납작당면+치즈+음료1개 (음료는 2인분일때 제공),음식이 맛있어요,친절해요,재료가 신선해요,특별한 메뉴가 있어요,매장이 청결해요
동산미,돼지고기구이,서울 금천구 가산디지털2로 138-1,갑오징어 토핑,오직 동산미에서만 일년 내내 드실수있는 국내산 갑오징어. 삼겹살 기름과의 콜라보. 야들야들,음식이 맛있어요,친절해요,특별한 메뉴가 있어요,가성비가 좋아요,양이 많아요
진영면옥,냉면,서울 금천구 가산로 22-5,평양냉면,,음식이 맛있어요,재료가 신선해요,친절해요,매장이 청결해요,특별한 메뉴가 있어요
문정곱창,"곱창,막창,양","서울 금천구 디지털로12길 37 1층 103, 104호",모듬곱창,,음식이 맛있어요,양이 많아요,친절해요,고기 질이 좋아요,재료가 신선해요
중화요리연 1호점,중식당,서울 금천구 가산디지털1로 225 1층 116호,유니짜장,중화요리의 대명사,음식이 맛있어요,매장이 넓어요,인테리어가 멋져요,단체모임 하기 좋아요,친절해요
애슐리퀸즈 가산퍼블릭점,패밀리레스토랑,서울 금천구 디지털로 178 A동 B1층,성인 평일런치,,음식이 맛있어요,매장이 넓어요,재료가 신선해요,가성비가 좋아요,단체모임 하기 좋아요
원다정 왕소금구이,돼지고기구이,서울 금천구 시흥대로48길 1 1층,재래식 소금구이(500g)(2.5인),추가반접시 (250g) 19500,음식이 맛있어요,고기 질이 좋아요,친절해요,양이 많아요,재료가 신선해요
대식당,돼지고기구이,서울 금천구 시흥대로153길 95 지상1층,대식뼈삼겹(750g),"[대식당시그니처]삼겹,등심,가브리,등갈비 부위를 1대에 정형한 메뉴 / 초벌메뉴",고기 질이 좋아요,음식이 맛있어요,친절해요,매장이 넓어요,특별한 메뉴가 있어요
인크커피 가산점,"카페,디저트",서울 금천구 가산디지털2로 127-20,얼 그레이 크림 라떼,타바론 얼그레이티의 향긋함을 담아낸 커피와 티 크림이 조화를 이뤄 진한 여운을 남기는 라떼,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,매장이 청결해요
호세가 가산본점,"멕시코,남미음식",서울 금천구 남부순환로108길 19 1층,비프 타코인기,,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
