백돈 장안점,돈가스,서울 동대문구 장한로14길 28 1층,[신메뉴/백돈뷔폐JMT]백돈모듬카츠(노커팅제공)N,"백돈돈카츠(안심,등심,통치즈)+수제소스+3색소스+장국+김치+할라피뇨+단무지+샐러드+밥 노컷팅제공-컷팅시 도시락에 담기지 않아요ㅠㅠ-배부름주의",음식이 맛있어요,재료가 신선해요,친절해요,양이 많아요,매장이 청결해요
미분당 장안점,베트남음식,서울 동대문구 장한로5길 17 1층,차돌박이 쌀국수,부드러운 차돌박이가 단독으로 올라간 진한 육수의 쌀국수 입니다.,음식이 맛있어요,재료가 신선해요,혼밥하기 좋아요,양이 많아요,친절해요
-,-,-,-,-,-,-,-,-,-
황해도순대,"순대,순댓국",서울 동대문구 경동시장로2길 49-3 황해도순대,,,음식이 맛있어요,가성비가 좋아요,양이 많아요,친절해요,고기 질이 좋아요
장안동 먹깨비 간장게장 해물아구찜,게요리,서울 동대문구 장한로 92 1층,간장게장 (小),"大 120,000원 / 中 85,000원",음식이 맛있어요,친절해요,재료가 신선해요,양이 많아요,매장이 넓어요
강금옥쭈꾸미,주꾸미요리,서울 동대문구 이문로 40,쭈꾸미,"#대표메뉴#철판쭈꾸미 쭈꾸미-13,000 쭈꾸미삼겹-14,000 쭈꾸미곱창-16,000",음식이 맛있어요,친절해요,재료가 신선해요,양이 많아요,매장이 청결해요
오소록,국수,서울 동대문구 전농로3길 1-2 1층,창도름(막창)순대,,음식이 맛있어요,특별한 메뉴가 있어요,양이 많아요,재료가 신선해요,친절해요
재벌국수 신설동점,국수,서울 동대문구 하정로3길 7-3 1층,고기국수,사골을 푹 고아낸 육수에 면을 넣고 그 위에 고명으로 삶은 돼지고기 수육을 올린 국수,음식이 맛있어요,양이 많아요,재료가 신선해요,특별한 메뉴가 있어요,가성비가 좋아요
경동연탄돼지갈비,돼지고기구이,서울 동대문구 약령서1길 34,연탄불 돼지갈비(300g/국내산),고기 주문시 후식으로 3000원에 드실수있습니다.,음식이 맛있어요,친절해요,양이 많아요,가성비가 좋아요,고기 질이 좋아요
최원석의돼지한판&서해쭈꾸미 시립대점,"육류,고기요리",서울 동대문구 전농로 222,숙성삼겹살,트리플에이징으로 숙성된 특별한 삼겹살,음식이 맛있어요,고기 질이 좋아요,친절해요,매장이 넓어요,직접 잘 구워줘요
시카고커리,카레,서울 동대문구 천호대로31길 23,시카고커리(치킨+그릴새우),계란후라이와 고로케는 토핑 추가 상품입니다.,음식이 맛있어요,친절해요,재료가 신선해요,인테리어가 멋져요,특별한 메뉴가 있어요
봄의정원 회기점,양식,서울 동대문구 경희대로1길 35 봄의정원 회기점,음식,"떡볶이, 파스타, 스테이크, 와인디쉬 등",음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,특별한 날 가기 좋아요
나정순할매쭈꾸미,주꾸미요리,서울 동대문구 무학로 144,주꾸미(350g),2인이상,음식이 맛있어요,양이 많아요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
