반디지치,덮밥,서울 중랑구 면목로40길 16 1층,에비동 정식,새우튀김과 꽈리고추 튀김이 올라가는 에비동 정식,음식이 맛있어요,재료가 신선해요,친절해요,혼밥하기 좋아요,양이 많아요
내맘대로반반치킨,"치킨,닭강정",서울 중랑구 용마산로96길 25 1층 내맘대로반반치킨,★시그니처★ 허니브라운치즈순살,카라멜같은 단짠한소스에 후레이크토핑으로바삭한 식감과 브라운치즈의 풍미가가득한맛,음식이 맛있어요,가성비가 좋아요,재료가 신선해요,특별한 메뉴가 있어요,양이 많아요
소와닭 곱도리탕 상봉점,한식,서울 중랑구 상봉로 103 1층,한우곱도리탕(중),국내산 한우대창과 한우곱창이 들어간 곱도리탕!,음식이 맛있어요,양이 많아요,재료가 신선해요,매장이 넓어요,친절해요
돼봉삼겹살,"육류,고기요리",서울 중랑구 망우로50길 24 104호,돼봉 모둠한판(중),2~3인,음식이 맛있어요,고기 질이 좋아요,매장이 넓어요,양이 많아요,친절해요
와라우,이자카야,서울 중랑구 봉우재로33길 81 1층 와라우,오뎅탕,한우 투뿔 우둔살 프리미엄육회,음식이 맛있어요,친절해요,대화하기 좋아요,기본 안주가 좋아요,인테리어가 멋져요
꿀삼겹,돼지고기구이,서울 중랑구 봉우재로 139,최고급 A+ 국내산 급냉꿀삼겹,"고기, 파체, 김치를 자른 후 공기밥, 양념장, 참기름 넣고 맛있게 볶은 다음, 김가루를 뿌리면 완성!",음식이 맛있어요,친절해요,가성비가 좋아요,고기 질이 좋아요,양이 많아요
수지상회&슈퍼통닭 상봉점,술집,서울 중랑구 망우로50길 15 1층,수코바숯불치킨,국내산 닭다리살로 만든 매콤하고 숯불향 가득한 숯불치킨에 우동사리까지!!,음식이 맛있어요,가성비가 좋아요,술이 다양해요,친절해요,기본 안주가 좋아요
시즌모먼트,"카페,디저트",서울 중랑구 면목로95길 26 1층,아메리카노,,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
단골손님 상봉점,술집,서울 중랑구 망우로50길 15 1층,꼬막육회비빔밥,국내산 꼬막과 와규 육회 그리고 특제 고추장소스로 눈과 입을 즐겁게 만드는 단골손님시그니처,음식이 맛있어요,가성비가 좋아요,대화하기 좋아요,술이 다양해요,특별한 메뉴가 있어요
모토이시 상봉점,"육류,고기요리",서울 중랑구 망우로50길 30 1층,6품모듬세트,"꽃갈비살,안창살,늑간살,업진살,등심, 삼각살 6가지 부위를 골고루 드셔보실 수 있습니다.",음식이 맛있어요,고기 질이 좋아요,친절해요,인테리어가 멋져요,양이 많아요
쿠우쿠우 골드 상봉점,"일식,초밥뷔페",서울 중랑구 망우로 316 이지팰리스 3층,평일점심,평일 오전 11시부터 퇴장시간 기준 오후 5시까지 이용 가능 시간입니다.,음식이 맛있어요,매장이 넓어요,메뉴 구성이 알차요,재료가 신선해요,가성비가 좋아요
여봉닭발 중랑본점,닭발,서울 중랑구 망우로30길 40 여봉닭발,일품 뼈있는국물닭발,재주문율98.7% +9000원 추가 시 닭발 곱빼기 변경가능 (닭발 양 +50%이상 증가),음식이 맛있어요,친절해요,양이 많아요,매장이 청결해요,가성비가 좋아요
쪽갈비대통령 먹골본점,돼지고기구이,서울 중랑구 동일로163길 46,양념쪽갈비(400g),,음식이 맛있어요,친절해요,고기 질이 좋아요,특별한 메뉴가 있어요,양이 많아요
임금돼지 태릉,"육류,고기요리",서울 중랑구 동일로 932 2단지상가 103호.,YBD금돼지 눈꽃 목살,"Dry aging 7days, Wet aging 10days",음식이 맛있어요,고기 질이 좋아요,인테리어가 멋져요,친절해요,직접 잘 구워줘요
용마해장국,해장국,서울 중랑구 용마공원로5길 20 1층,해장국,,음식이 맛있어요,양이 많아요,가성비가 좋아요,재료가 신선해요,특별한 메뉴가 있어요
일탄,"육류,고기요리",서울 중랑구 상봉로 97-1 1층 일탄,일탄만의 특제소스 개발중(많관부~!),매일 씹고~! 뜯고~! 맛보고~! 만든 일탄만의 비밀소스 매콤한 양념소갈비~,음식이 맛있어요,고기 질이 좋아요,친절해요,가성비가 좋아요,매장이 청결해요
중랑교집 상봉2호점,"육류,고기요리",서울 중랑구 면목로92길 4 1층 중랑교집 상봉2호점,미박삼겹170g(된장찌개+계란찜),최고급 프리미엄 선별육 암퇘지,음식이 맛있어요,친절해요,재료가 신선해요,매장이 청결해요,가성비가 좋아요
