서울역사박물관,박물관,서울 종로구 새문안로 55,유익해요,전시 구성이 알차요,설명이 잘 되어있어요,주차하기 편해요,전시 테마가 재밌어요
경희궁,궁궐,서울 종로구 새문안로 45 경희궁.시립미술관,붐비지 않아요,사진이 잘 나와요,산책로가 잘 되어있어요,관리가 잘 되어있어요,아이와 가기 좋아요
경복궁 관훈점,"육류,고기요리",서울 종로구 인사동5길 38 아미드호텔 지하1층,음식이 맛있어요,단체모임 하기 좋아요,친절해요,특별한 날 가기 좋아요,매장이 청결해요
-,-,-,-,-,-,-,-
국립고궁박물관,박물관,서울 종로구 효자로 12 국립고궁박물관,유익해요,전시 구성이 알차요,설명이 잘 되어있어요,체험 프로그램이 다양해요,아이와 가기 좋아요
서울공예박물관,박물관,서울 종로구 율곡로3길 4,유익해요,전시 구성이 알차요,전시 테마가 재밌어요,공간이 넓어요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
인사동문화의거리,문화거리,서울 종로구 인사동,볼거리가 많아요,방문객이 많아요,사진이 잘 나와요,먹거리가 풍부해요,뷰가 좋아요
북촌 한옥마을,지역명소,서울 종로구 계동길 37,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,방문객이 많아요,산책로가 잘 되어있어요
채석장전망대 카페낙타,전망대,서울 종로구 낙산5길 51,뷰가 좋아요,사진이 잘 나와요,가격이 합리적이에요,야경이 멋져요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
국립민속박물관,박물관,서울 종로구 삼청로 37,유익해요,전시 구성이 알차요,전시 테마가 재밌어요,체험 프로그램이 다양해요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
다이나믹메이즈 인사동,테마파크,서울 종로구 인사동길 12 대일빌딩 지하1층,아이와 가기 좋아요,체험 프로그램이 다양해요,볼거리가 많아요,놀이기구가 다양해요,사진이 잘 나와요
낙산공원,근린공원,서울 종로구 낙산길 41,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
창경궁,궁궐,서울 종로구 창경궁로 185 창경궁,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,붐비지 않아요,관리가 잘 되어있어요
북악스카이웨이,드라이브,서울 종로구 평창동 산6-94,뷰가 좋아요,방문객이 많아요,사진이 잘 나와요,편의시설이 잘 되어있어요,관리가 잘 되어있어요
돈의문박물관마을,체험마을,서울 종로구 송월길 14-3,볼거리가 많아요,체험 프로그램이 다양해요,아이와 가기 좋아요,관리가 잘 되어있어요,사진이 잘 나와요
국립기상박물관,박물관,서울 종로구 송월길 52,유익해요,설명이 잘 되어있어요,아이와 가기 좋아요,전시 구성이 알차요,전시 테마가 재밌어요
흥인지문공원,근린공원,서울 종로구 종로6가 70,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요,관리가 잘 되어있어요
창덕궁,세계문화유산,서울 종로구 율곡로 99,사진이 잘 나와요,볼거리가 많아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,붐비지 않아요
광화문광장,광장,서울 종로구 세종대로 175 세종이야기,볼거리가 많아요,뷰가 좋아요,방문객이 많아요,사진이 잘 나와요,관리가 잘 되어있어요
북촌동양문화박물관,박물관,서울 종로구 북촌로11길 76 북촌동양문화박물관,사진이 잘 나와요,유익해요,공간이 넓어요,가격이 합리적이에요,전시 구성이 알차요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
수성동계곡,계곡,서울 종로구 옥인동 185-3,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,조용히 쉬기 좋아요,대중교통이 편해요
이화마을,체험마을,서울 종로구 이화장길 70-11,자연 경관이 좋아요,볼거리가 많아요,붐비지 않아요,사진이 잘 나와요,산책로가 잘 되어있어요
딜쿠샤,국가유산,서울 종로구 사직로2길 17 딜쿠샤,볼거리가 많아요,사진이 잘 나와요,붐비지 않아요,관리가 잘 되어있어요,설명이 잘 되어있어요
뮤지엄김치간,박물관,서울 종로구 인사동길 35-4 인사동마루 본관 4~6층,유익해요,체험 프로그램이 다양해요,아이와 가기 좋아요,전시 구성이 알차요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
북악산,산,서울 종로구 부암동,뷰가 좋아요,붐비지 않아요,사진이 잘 나와요,경관이 독특해요,산책로가 잘 되어있어요
열린송현 녹지광장,광장,서울 종로구 송현동 48-9,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요
와룡공원,"도시,테마공원",서울 종로구 와룡공원길 192,뷰가 좋아요,산책로가 잘 되어있어요,붐비지 않아요,사진이 잘 나와요,볼거리가 많아요
-,-,-,-,-,-,-,-
박물관은살아있다 인사동점,테마파크,서울 종로구 인사동길 12 대일빌딩 지하1층,아이와 가기 좋아요,사진이 잘 나와요,볼거리가 많아요,체험 프로그램이 다양해요,가격이 합리적이에요
삼청공원,근린공원,서울 종로구 삼청로 156 삼청공원관리실,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요
창덕궁 후원,지역명소,서울 종로구 율곡로 99 창덕궁,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
석파정,"문화,유적",서울 종로구 창의문로11길 4-1,볼거리가 많아요,사진이 잘 나와요,산책로가 잘 되어있어요,관리가 잘 되어있어요,붐비지 않아요
운현궁,궁궐,서울 종로구 삼일대로 464 운현궁,사진이 잘 나와요,붐비지 않아요,볼거리가 많아요,체험 프로그램이 다양해요,관리가 잘 되어있어요
창덕궁 돈화문,기념물,서울 종로구 창덕궁길 94 원서노인정,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,체험 프로그램이 다양해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
종묘,세계문화유산,서울 종로구 종로 157,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,붐비지 않아요,관리가 잘 되어있어요
흥인지문,기념물,서울 종로구 종로 288 흥인지문,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요,붐비지 않아요,산책로가 잘 되어있어요
북촌박물관,박물관,서울 종로구 북촌로 39,유익해요,설명이 잘 되어있어요,아이와 가기 좋아요,가격이 합리적이에요,체험 프로그램이 다양해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
탑골공원,근린공원,서울 종로구 종로 99 탑골공원,뷰가 좋아요,산책로가 잘 되어있어요,붐비지 않아요,관리가 잘 되어있어요,방문객이 많아요
세종대왕동상,기념물,서울 종로구 세종대로 172,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요,아이와 가기 좋아요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
마로니에공원,근린공원,서울 종로구 대학로 104,뷰가 좋아요,관리가 잘 되어있어요,볼거리가 많아요,산책로가 잘 되어있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
닥터로빈 광화문점,이탈리아음식,서울 종로구 종로3길 17 D-타워 5층,음식이 맛있어요,재료가 신선해요,특별한 메뉴가 있어요,친절해요,매장이 넓어요
-,-,-,-,-,-,-,-
이순신장군동상,기념물,서울 종로구 세종대로 172,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요,아이와 가기 좋아요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
아름다운차박물관,박물관,서울 종로구 인사동길 19-11,공간이 넓어요,사진이 잘 나와요,유익해요,가격이 합리적이에요,전시 구성이 알차요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
신문박물관PRESSEUM,박물관,"서울 종로구 세종대로 152 일민미술관건물 5층, 6층",유익해요,전시 구성이 알차요,설명이 잘 되어있어요,체험 프로그램이 다양해요,아이와 가기 좋아요
