은평역사한옥박물관,박물관,서울 은평구 연서로50길 8 은평역사한옥박물관,유익해요,주차하기 편해요,전시 구성이 알차요,가격이 합리적이에요,설명이 잘 되어있어요
북한산둘레길8구간(구름정원길),도보코스,서울 은평구 불광동 산4-5,뷰가 좋아요,산책로가 잘 되어있어요,붐비지 않아요,자연 경관이 좋아요,방문객이 많아요
진관사계곡,계곡,서울 은평구 진관동,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,주차하기 편해요,경관이 독특해요
은평한옥마을,체험마을,서울 은평구 진관동 193-14,자연 경관이 좋아요,볼거리가 많아요,관리가 잘 되어있어요,붐비지 않아요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
다문화박물관,박물관,서울 은평구 불광로 135,유익해요,전시 구성이 알차요,설명이 잘 되어있어요,아이와 가기 좋아요,전시 테마가 재밌어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
구산동마을공원,근린공원,서울 은평구 구산동 340-7,주차하기 편해요,관리가 잘 되어있어요,가격이 합리적이에요,뷰가 좋아요,산책로가 잘 되어있어요
봉산(209m),산,서울 은평구 구산동,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요,편의시설이 잘 되어있어요
-,-,-,-,-,-,-,-
북한산생태공원,"자연,생태공원",서울 은평구 불광동 산42-5,볼거리가 많아요,뷰가 좋아요,주차하기 편해요,사진이 잘 나와요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
NC백화점 불광점,백화점,서울 은평구 불광로 20 NC백화점불광점,종류가 다양해요,가성비가 좋아요,친절해요,품질이 좋아요,주차하기 편해요
볼베어파크 롯데몰 은평점,"키즈카페,실내놀이터",서울 은평구 통일로 1050 롯데몰은평점 3층,놀거리가 많아요,공간이 넓어요,주차하기 편해요,테마가 재미있어요,매장이 청결해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
1인1잔,"카페,디저트",서울 은평구 연서로 534,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요,디저트가 맛있어요
서울북한산럭셔리카라반&수영장글램핑,"캠핑,야영장",서울 은평구 북한산로 232-1,깨끗해요,조용히 쉬기 좋아요,바비큐 해먹기 좋아요 ,온수가 잘 나와요,매너타임이 잘 지켜져요
스타벅스 더북한산점,카페,서울 은평구 대서문길 24-11 (진관동),뷰가 좋아요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,인테리어가 멋져요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
로맨티카,"카페,디저트",서울 은평구 연서로 532 1층,뷰가 좋아요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요,친절해요
대림시장,시장,서울 은평구 응암동 300-10,친절해요,종류가 다양해요,가성비가 좋아요,품질이 좋아요,특색 있는 제품이 많아요
키즈카페 키즈팡팡구산점,"키즈카페,실내놀이터","서울 은평구 연서로 161 BYC빌딩6층, (갈현동464-4)",가격이 합리적이에요,매장이 청결해요,친절해요,공간이 넓어요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
연서시장,시장,서울 은평구 통일로 850 연서시장,친절해요,가성비가 좋아요,먹거리가 풍부해요,볼거리가 많아요,종류가 다양해요
카페 309,"카페,디저트",서울 은평구 의상봉길 56-16 의상빌딩 1~3층,뷰가 좋아요,커피가 맛있어요,디저트가 맛있어요,대화하기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
큐리키즈카페 은평뉴타운점,"키즈카페,실내놀이터",서울 은평구 진관2로 19 휴먼프라자1 403호,놀거리가 많아요,매장이 청결해요,가격이 합리적이에요,친절해요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
연신내문고,서점,서울 은평구 통일로 861 범일빌딩 지하1층,책 종류가 다양해요,시설이 깔끔해요,원하는 책을 찾기 쉬워요,신간이 빨리 들어와요,베스트셀러가 많아요
스페이스헬레나,"카페,디저트",서울 은평구 진관길 4 2층,디저트가 맛있어요,인테리어가 멋져요,뷰가 좋아요,커피가 맛있어요,사진이 잘 나와요
YM ESPRESSO ROOM,"카페,디저트",서울 은평구 진관3로 67 래미안아파트 909동 상가 1층 101호,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,음료가 맛있어요
두들,"카페,디저트",서울 은평구 불광로 20 15층 A-005호,뷰가 좋아요,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
88스퀘어 서울,"카페,디저트","서울 은평구 연서로 522 1, 2층",인테리어가 멋져요,음식이 맛있어요,친절해요,뷰가 좋아요,매장이 넓어요
스타벅스 진관DT점,카페,서울 은평구 연서로 645 (진관동),커피가 맛있어요,뷰가 좋아요,친절해요,음료가 맛있어요,디저트가 맛있어요
-,-,-,-,-,-,-,-
YM COFFEE HOUSE,카페,서울 은평구 연서로29길 21-8 1층,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
플럽커피,"카페,디저트",서울 은평구 연서로29길 7-11 3층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
알키미스타,"카페,디저트",서울 은평구 응암로9길 24 1층,커피가 맛있어요,음료가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요
북한산큰숲 제빵소,베이커리,서울 은평구 북한산로 271-3 북한산 큰 숲 제빵소,빵이 맛있어요,커피가 맛있어요,친절해요,뷰가 좋아요,인테리어가 멋져요
버키커피,"카페,디저트",서울 은평구 연서로29길 34-14 Bucky Coffee,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요,매장이 청결해요
노리들노리쌤 DMC은평점,"키즈카페,실내놀이터",서울 은평구 수색로 200 DMC센트럴자이 주상복합 4단지 상가 2층 노리노리,테마가 재미있어요,친절해요,부모도 쉬기 좋아요,매장이 청결해요,주차하기 편해요
닷닷닷2,"카페,디저트",서울 은평구 연서로27길 21 1층 닷닷닷2,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
공음,"카페,디저트",서울 은평구 통일로68길 14 1층,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,친절해요,특별한 메뉴가 있어요
아로니카 대관키즈카페,"키즈카페,실내놀이터",서울 은평구 은평로 136 4층 402호 (은경빌딩),매장이 청결해요,놀거리가 많아요,공간이 넓어요,부모도 쉬기 좋아요,가격이 합리적이에요
근린커피,카페,서울 은평구 응암로21길 23,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요
-,-,-,-,-,-,-,-
키즈카페 파피용 수색이마트점,"키즈카페,실내놀이터",서울 은평구 수색로 217-1 상가동 3층 304호,부모도 쉬기 좋아요,매장이 청결해요,가격이 합리적이에요,놀거리가 많아요,공간이 넓어요
-,-,-,-,-,-,-,-
펀스터,"카페,디저트",서울 은평구 증산로3길 8-15,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
치즈당 대왕카스테라 연신내점,"카페,디저트",서울 은평구 통일로83길 5-4 1층 치즈당,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
라이언베이커 신사점,"카페,디저트",서울 은평구 증산로17길 22-1 1F,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,매장이 청결해요
월하점,"카페,디저트",서울 은평구 응암로21가길 9-11 상가 1층 월하점,디저트가 맛있어요,커피가 맛있어요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
거실,"카페,디저트",서울 은평구 은평로8길 47 1층,커피가 맛있어요,디저트가 맛있어요,친절해요,인테리어가 멋져요,음료가 맛있어요
-,-,-,-,-,-,-,-
폴스타 베이커스,베이커리,서울 은평구 서오릉로 256 1층~3층,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,매장이 청결해요,대화하기 좋아요
빽다방 빵연구소 북한산성점,테이크아웃커피,서울 은평구 대서문길 23 1층,디저트가 맛있어요,커피가 맛있어요,가성비가 좋아요,음료가 맛있어요,친절해요
카페뤽상부르,"카페,디저트",서울 은평구 연서로25길 6-11 1층 2층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
노블티,"카페,디저트",서울 은평구 연서로 514 담인빌딩 1층,디저트가 맛있어요,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,사진이 잘 나와요
스타벅스 구산역점,카페,서울 은평구 연서로 146 (대조동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
할리스 북한산DI점,카페,서울 은평구 북한산로 248-8,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요,디저트가 맛있어요,음료가 맛있어요
스타벅스 은평구청입구점,카페,서울 은평구 은평로 170 (응암동),커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,매장이 청결해요
프리롤 카페,"카페,디저트","서울 은평구 진흥로 201 1층, 2층",커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요,집중하기 좋아요
안스베이커리 롯데몰 은평점,베이커리,서울 은평구 통일로 1050 롯데몰 은평점 1층 안스베이커리 (진관동),빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
