월드컵공원,테마공원,서울 마포구 하늘공원로 86,뷰가 좋아요,산책로가 잘 되어있어요,볼거리가 많아요,주차하기 편해요,관리가 잘 되어있어요
하늘공원,"자연,생태공원",서울 마포구 하늘공원로 95,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,피크닉하기 좋아요
난지 한강공원,시민공원,서울 마포구 한강난지로 162 한강공원 난지안내센터,뷰가 좋아요,사진이 잘 나와요,관리가 잘 되어있어요,산책로가 잘 되어있어요,방문객이 많아요
테이블에이,동물원-일반,"서울 마포구 와우산로 146 지하1층,1층,2층,3층,5층",동물 관리가 잘 되어있어요,볼거리가 많아요,체험 프로그램이 다양해요,시설이 깔끔해요,가격이 합리적이에요
난지천공원,"도시,테마공원",서울 마포구 월드컵로 365,산책로가 잘 되어있어요,주차하기 편해요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요
망원 한강공원,시민공원,서울 마포구 마포나루길 467 한강공원망원지구사무소,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
서울함 공원,"도시,테마공원",서울 마포구 마포나루길 407,뷰가 좋아요,볼거리가 많아요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요
평화의공원,"도시,테마공원",서울 마포구 증산로 32,산책로가 잘 되어있어요,뷰가 좋아요,편의시설이 잘 되어있어요,주차하기 편해요,볼거리가 많아요
-,-,-,-,-,-,-,-
경의선숲길,"거리,골목",서울 마포구 연남동,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요
절두산순교성지,"유적지,사적지",서울 마포구 토정로 6,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요,설명이 잘 되어있어요
스머프 매직 포레스트 홍대점,테마파크,서울 마포구 어울마당로 151-1 2층,볼거리가 많아요,아이와 가기 좋아요,체험 프로그램이 다양해요,사진이 잘 나와요,친절해요
-,-,-,-,-,-,-,-
망원 한강공원,시민공원,서울 마포구 마포나루길 467 한강공원망원지구사무소,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
풋볼팬타지움,박물관,서울 마포구 월드컵로 240,유익해요,아이와 가기 좋아요,주차하기 편해요,체험 프로그램이 다양해요,전시 테마가 재밌어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
노을공원,"도시,테마공원",서울 마포구 하늘공원로 108-2,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
마포새빛문화숲,근린공원,서울 마포구 당인동 1,뷰가 좋아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,붐비지 않아요,사진이 잘 나와요
콩불 홍대점,"육류,고기요리",서울 마포구 어울마당로 118 1층,음식이 맛있어요,가성비가 좋아요,친절해요,양이 많아요,매장이 넓어요
경의선숲길,"거리,골목",서울 마포구 연남동,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
SK텔레콤 PS&M 마포잼플레이스점,휴대폰,서울 마포구 마포대로 144 마포T타운 1층,친절해요,설명이 자세해요,서비스가 좋아요,분위기가 편안해요,시설이 깔끔해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
와우공원,근린공원,서울 마포구 창전동 3-245,뷰가 좋아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,볼거리가 많아요,편의시설이 잘 되어있어요
경의선숲길공원,근린공원,서울 마포구 연남동,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,볼거리가 많아요,먹거리가 풍부해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
절두산순교성지,"유적지,사적지",서울 마포구 토정로 6,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
홍제천,"강,하천",서울 마포구 성산동,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,경관이 독특해요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
망원시장,시장,서울 마포구 포은로6길 27 1층,친절해요,가성비가 좋아요,종류가 다양해요,주차하기 편해요,특색 있는 제품이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
해남땅끝 마포농수산물시장 구 호남수산,수산물,서울 마포구 월드컵로 235,신선해요,친절해요,맛있어요,손질이 깔끔해요,종류가 다양해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
