서울식물원,"식물원,수목원",서울 강서구 마곡동로 161 서울식물원,신기한 식물이 많아요,산책로가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요,뷰가 좋아요
국립항공박물관,박물관,서울 강서구 하늘길 177,유익해요,전시 구성이 알차요,체험 프로그램이 다양해요,아이와 가기 좋아요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
플레이스콤마,"관광농원,팜스테이",서울 강서구 오정로 375,친절해요,사진이 잘 나와요,조용히 쉬기 좋아요,아이와 가기 좋아요,반려동물과 가기 좋아요
-,-,-,-,-,-,-,-
김포공항국내선청사공항전망대,전망대,서울 강서구 하늘길 170-1 AAS정비동,뷰가 좋아요,사진이 잘 나와요,가격이 합리적이에요,대중교통이 편해요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
방화근린공원,근린공원,서울 강서구 금낭화로 176 방화근린공원관리사무소,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요
구암근린공원,근린공원,서울 강서구 허준로5길 42,산책로가 잘 되어있어요,뷰가 좋아요,붐비지 않아요,볼거리가 많아요,관리가 잘 되어있어요
강서 한강공원,시민공원,서울 강서구 방화동 2-32,뷰가 좋아요,피크닉하기 좋아요,관리가 잘 되어있어요,자연 경관이 좋아요,산책로가 잘 되어있어요
허준박물관,박물관,서울 강서구 허준로 87 허준박물관,유익해요,전시 구성이 알차요,체험 프로그램이 다양해요,설명이 잘 되어있어요,주차하기 편해요
-,-,-,-,-,-,-,-
마곡나루근린공원,근린공원,서울 강서구 마곡동 743-3,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,편의시설이 잘 되어있어요,아이와 가기 좋아요
마곡광장,근린공원,서울 강서구 마곡중앙5로 9,주차하기 편해요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요,붐비지 않아요
-,-,-,-,-,-,-,-
우장산,산,서울 강서구 화곡동,붐비지 않아요,반려동물과 가기 좋아요,뷰가 좋아요,조용히 쉬기 좋아요,화장실이 깨끗해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
양천향교,"문화,유적",서울 강서구 양천로47나길 53 양천향교,사진이 잘 나와요,붐비지 않아요,가격이 합리적이에요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
롯데몰 김포공항점스카이파크,"도시,테마공원",서울 강서구 하늘길 38 김포공항. 롯데몰. 스카이시티,뷰가 좋아요,볼거리가 많아요,주차하기 편해요,관리가 잘 되어있어요,편의시설이 잘 되어있어요
-,-,-,-,-,-,-,-
우장산,산,서울 강서구 화곡동,붐비지 않아요,반려동물과 가기 좋아요,뷰가 좋아요,조용히 쉬기 좋아요,화장실이 깨끗해요
-,-,-,-,-,-,-,-
개화산 튀김명가,종합분식,서울 강서구 양천로6길 28 방화12단지아파트 상가 1층,음식이 맛있어요,친절해요,재료가 신선해요,가성비가 좋아요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
가양동문화공원,근린공원,서울 강서구 가양동 1499,뷰가 좋아요,관리가 잘 되어있어요,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
염창소공원,근린공원,서울 강서구 염창동 309-1,관리가 잘 되어있어요,먹거리가 풍부해요,볼거리가 많아요,편의시설이 잘 되어있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
양천고성지,국가유산,서울 강서구 가양동,사진이 잘 나와요,관리가 잘 되어있어요,붐비지 않아요,볼거리가 많아요,아이와 가기 좋아요
-,-,-,-,-,-,-,-
오지오커피,"카페,디저트","서울 강서구 공항대로 213 보타닉파크타워 2 115호, 116호",커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요
떼헤브,"카페,디저트",서울 강서구 마곡서로 175 상가동 102호,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,인테리어가 멋져요
-,-,-,-,-,-,-,-
베이글리스트,"카페,디저트",서울 강서구 마곡동로 55 마커스빌딩 102호,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,특별한 메뉴가 있어요,디저트가 맛있어요
경성별하 한복,한복대여,서울 강서구 강서로 388 베뉴지웨딩 3층,옷이 예뻐요,옷이 다양해요,친절해요,스타일 추천을 잘해줘요,옷 관리가 잘 되어있어요
우리미한복,한복대여,서울 강서구 공항대로 272 하바나빌딩 3층,옷이 예뻐요,옷이 다양해요,옷 관리가 잘 되어있어요,친절해요,시설이 깔끔해요
-,-,-,-,-,-,-,-
베이커리 룬,베이커리,서울 강서구 공항대로 261 발산파크프라자10,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
인쏘우,"카페,디저트",서울 강서구 마곡중앙8로5길 11 마곡파인스퀘어3 112호 (1층),커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,디저트가 맛있어요,사진이 잘 나와요
프레베리 마곡케이크,"카페,디저트",서울 강서구 마곡동로4길 23 1층,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요
카페 우드진,"카페,디저트",서울 강서구 마곡중앙6로 45 카페 우드진,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,인테리어가 멋져요
고드니,"카페,디저트","서울 강서구 마곡중앙로 161-1 캐슬파크 2층 220, 230호",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,특별한 메뉴가 있어요
깅꼬서울,"카페,디저트",서울 강서구 개화10길 40 깅꼬서울,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
어나더사이드,"카페,디저트",서울 강서구 강서로 318 1층 카페 어나더사이드,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,사진이 잘 나와요,음료가 맛있어요
벤의 서재,북카페,서울 강서구 공항대로 219 3층 301호,집중하기 좋아요,인테리어가 멋져요,아늑해요,차분한 분위기에요,친절해요
방신전통시장,시장,서울 강서구 방화동로16길 31,친절해요,볼거리가 많아요,가성비가 좋아요,먹거리가 풍부해요,컨셉이 독특해요
루브레드,베이커리,서울 강서구 화곡로64길 70,빵이 맛있어요,가성비가 좋아요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
타르데마베이커리 우장산,베이커리,서울 강서구 강서로46길 9,빵이 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
엘리케이커,케이크전문,서울 강서구 마곡중앙5로 6 보타닉푸르지오시티 동관 G층(혹은 지하1층) B142호,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,주문제작을 잘해줘요,선물하기 좋아요
NC백화점 강서점,백화점,서울 강서구 강서로56길 17 NC백화점강서점,가성비가 좋아요,종류가 다양해요,친절해요,품질이 좋아요,주차하기 편해요
스퍼터,"카페,디저트",서울 강서구 마곡중앙6로 65 지투플라자 1층 111호,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
더 왓에버,브런치카페,서울 강서구 마곡중앙2로 15 테크노타워2 1층,음식이 맛있어요,인테리어가 멋져요,매장이 넓어요,친절해요,매장이 청결해요
카페 우드진 마곡나루점,"카페,디저트",서울 강서구 마곡중앙로 161-8 A동 108호,커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,대화하기 좋아요
우주제빵소,"카페,디저트",서울 강서구 양천로47나길 7 1층,디저트가 맛있어요,커피가 맛있어요,뷰가 좋아요,인테리어가 멋져요,친절해요
올웨이즈 베이글,베이커리,서울 강서구 마곡중앙5로1길 25 1층 110호,빵이 맛있어요,종류가 다양해요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요
치즈당 강서화곡점,"카페,디저트",서울 강서구 화곡로 135 1층 102호 치즈당 강서화곡점,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,매장이 청결해요,가성비가 좋아요
브런치나인,브런치카페,서울 강서구 공항대로 212 문영퀸즈파크11차 1층 126호,음식이 맛있어요,인테리어가 멋져요,친절해요,매장이 청결해요,커피가 맛있어요
라크루뜨 서울 본점,"카페,디저트",서울 강서구 공항대로 237 111-112호,인테리어가 멋져요,디저트가 맛있어요,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요
늨늨베이크,케이크전문,서울 강서구 양천로 400-12 더리브골드타워1층117호,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,선물하기 좋아요
블리스냅,카페,서울 강서구 양천로30길 50 블리스냅,디저트가 맛있어요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요,음료가 맛있어요
헤이더그린,"카페,디저트",서울 강서구 대장로 58,뷰가 좋아요,주차하기 편해요,커피가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
피코리코 롯데몰 김포공항점,"카페,디저트",서울 강서구 하늘길 77 롯데몰 김포공항점 GF층,커피가 맛있어요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,친절해요
크림토끼 방화역점,베이커리,서울 강서구 금낭화로 146 1층 102호,디저트가 맛있어요,커피가 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요
카페 달지,"카페,디저트","서울 강서구 강서로 443 마곡대명투웨니퍼스트 1층 104, 105호",커피가 맛있어요,인테리어가 멋져요,친절해요,음료가 맛있어요,집중하기 좋아요
헤븐온탑 롯데몰김포공항점,"카페,디저트",서울 강서구 하늘길 77 롯데몰 김포공항점 GF,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
빵쌤 마곡점,베이커리,"서울 강서구 마곡중앙로 59-5 마곡595빌딩 1, 2층",빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,대화하기 좋아요,매장이 청결해요
오프레스트 로스터리,"카페,디저트",서울 강서구 공항대로59길 64 상가1동 오프레스트 로스터리 카페,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,집중하기 좋아요
