푸른수목원,"식물원,수목원",서울 구로구 서해안로 2117,산책로가 잘 되어있어요,주차하기 편해요,뷰가 좋아요,볼거리가 많아요,사진이 잘 나와요
고척근린공원,근린공원,서울 구로구 고척로45길 39 구로구민체육센터,산책로가 잘 되어있어요,주차하기 편해요,뷰가 좋아요,관리가 잘 되어있어요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
연지근린공원,근린공원,서울 구로구 천왕동 274-2,뷰가 좋아요,산책로가 잘 되어있어요,주차하기 편해요,볼거리가 많아요,관리가 잘 되어있어요
구로거리공원,근린공원,서울 구로구 공원로 73-1,산책로가 잘 되어있어요,관리가 잘 되어있어요,뷰가 좋아요,붐비지 않아요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
매봉산 잣절공원,자연공원,서울 구로구 개봉동 45-2,산책로가 잘 되어있어요,화장실이 깨끗해요,볼거리가 많아요,피크닉하기 좋아요,편의시설이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
구로거리공원,근린공원,서울 구로구 공원로 73-1,산책로가 잘 되어있어요,관리가 잘 되어있어요,뷰가 좋아요,붐비지 않아요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
서울아트책보고,복합문화공간,서울 구로구 경인로 430 고척스카이돔 지하1층,책 읽기 쾌적해요,시설이 깔끔해요,카페 같은 분위기에요,독특한 책이 많아요,베스트셀러가 많아요
월드킹 구로점,"키즈카페,실내놀이터",서울 구로구 경인로 393-7 2동 지하1층,놀거리가 많아요,매장이 청결해요,공간이 넓어요,가격이 합리적이에요,테마가 재미있어요
NC 신구로점,백화점,서울 구로구 구로중앙로 152 NC신구로점,가성비가 좋아요,종류가 다양해요,친절해요,품질이 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
캘리클럽 고척점,"키즈카페,실내놀이터","서울 구로구 경인로43길 49 C동 1층 (고척동, 고척아이파크)",놀거리가 많아요,테마가 재미있어요,친절해요,안전하게 관리해요,매장이 청결해요
문화철도959,문화시설,서울 구로구 경인로 688 1호선 신도림역 3층,가격이 합리적이에요,친절해요,매장이 청결해요,놀거리가 많아요,안전하게 관리해요
-,-,-,-,-,-,-,-
현대백화점 디큐브시티,백화점,서울 구로구 신도림동 경인로 662 현대백화점디큐브시티,친절해요,종류가 다양해요,품질이 좋아요,시설이 깔끔해요,주차하기 편해요
-,-,-,-,-,-,-,-
이키즈랜드 신구로점,"키즈카페,실내놀이터",서울 구로구 구로중앙로 152 7층 이키즈랜드 신구로점,매장이 청결해요,놀거리가 많아요,가격이 합리적이에요,친절해요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
리틀베프 항동점,"키즈카페,실내놀이터",서울 구로구 연동로 197 아이온타워3 3층,매장이 청결해요,놀거리가 많아요,친절해요,가격이 합리적이에요,공간이 넓어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
