주렁주렁 동물원 영등포점,동물원-일반,"서울 영등포구 영중로 15 타임스퀘어 4층, 5층",테마가 재미있어요,놀거리가 많아요,체험 프로그램이 많아요,친절해요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
-,-,-,-,-,-,-,-
선유도공원,근린공원,서울 영등포구 선유로 343,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
YDP곤충체험학습관,박물관,서울 영등포구 선유동1로 80 영등포구 별관청사 E동,유익해요,아이와 가기 좋아요,체험 프로그램이 다양해요,설명이 잘 되어있어요,가격이 합리적이에요
SeaLaLa워터파크,워터파크,서울 영등포구 문래로 164 지하 2층,시설이 깔끔해요,안전하게 관리해요,가격이 합리적이에요,주차하기 편해요,수질 관리가 잘돼요
만천곤충박물관,박물관,"서울 영등포구 영등포로 187 4, 5층",가격이 합리적이에요,유익해요,아이와 가기 좋아요,전시 구성이 알차요,전시 테마가 재밌어요
양화 한강공원,시민공원,서울 영등포구 노들로 113 양화개나리점,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요
-,-,-,-,-,-,-,-
여의도 샛강생태공원,"자연,생태공원",서울 영등포구 여의도동 49,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
여의도물빛광장,광장,서울 영등포구 여의도동 한강남자전거길 1451 한강르네상스 여의도3호 매점,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,아이와 가기 좋아요,볼거리가 많아요
영등포공원,"도시,테마공원",서울 영등포구 영등포동 신길로 275,주차하기 편해요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요,볼거리가 많아요
문래근린공원,근린공원,서울 영등포구 문래동3가 61,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
선유도공원,근린공원,서울 영등포구 선유로 343,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
