코엑스아쿠아리움,아쿠아리움,서울 강남구 영동대로 513,볼거리가 많아요,규모가 커요,관리가 잘 되어있어요,사진이 잘 나와요,주차하기 편해요
선정릉,세계문화유산,서울 강남구 선릉로100길 1 선릉정릉,산책로가 잘 되어있어요,붐비지 않아요,사진이 잘 나와요,관리가 잘 되어있어요,뷰가 좋아요
선릉성종왕릉,세계문화유산,서울 강남구 선릉로100길 1,산책로가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요,관리가 잘 되어있어요,가격이 합리적이에요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
피규어뮤지엄w,박물관,서울 강남구 선릉로158길 3 Ys Roo,전시 구성이 알차요,전시 테마가 재밌어요,아이와 가기 좋아요,사진이 잘 나와요,유익해요
스머프 매직 포레스트 강남점,테마파크,서울 강남구 강남대로106길 29 지하1층,볼거리가 많아요,체험 프로그램이 다양해요,아이와 가기 좋아요,사진이 잘 나와요,놀이기구가 다양해요
-,-,-,-,-,-,-,-
파타고니아 서울가로수길직영점,"등산,아웃도어",서울 강남구 도산대로15길 17,친절해요,품질이 좋아요,종류가 다양해요,매장이 넓어요,분위기가 편안해요
삼성해맞이공원,근린공원,서울 강남구 영동대로128길 39,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,관리가 잘 되어있어요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
갓포 모로미 도산공원점,이자카야,서울 강남구 언주로172길 30 1층 갓포 모로미,음식이 맛있어요,대화하기 좋아요,친절해요,특별한 메뉴가 있어요,인테리어가 멋져요
-,-,-,-,-,-,-,-
대치동학원가,"거리,골목",서울 강남구 대치동,관리가 잘 되어있어요,가격이 합리적이에요,주차하기 편해요,먹거리가 풍부해요,편의시설이 잘 되어있어요
-,-,-,-,-,-,-,-
도곡공원,근린공원,서울 강남구 도곡동 산31-8,산책로가 잘 되어있어요,관리가 잘 되어있어요,뷰가 좋아요,편의시설이 잘 되어있어요,붐비지 않아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
호림박물관 신사분관,박물관,서울 강남구 도산대로 317 호림박물관 신사분관,전시 구성이 알차요,유익해요,전시 테마가 재밌어요,설명이 잘 되어있어요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
학동공원,"도시,테마공원",서울 강남구 강남대로140길 47,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,주차하기 편해요,가격이 합리적이에요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
대모산,산,서울 강남구 개포동,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,대중교통이 편해요,산책로가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
매봉산,산,서울 강남구 도곡동,붐비지 않아요,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,경관이 독특해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
역삼문화공원,"도시,테마공원",서울 강남구 테헤란로7길 21 국립어린이청소년도서관,뷰가 좋아요,주차하기 편해요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
양재천,"강,하천",서울 강남구 대치동,뷰가 좋아요,사진이 잘 나와요,볼거리가 많아요,근처에 갈 곳이 많아요,산책로가 잘 되어있어요
대치근린공원,근린공원,서울 강남구 대치동 512,가격이 합리적이에요,뷰가 좋아요,먹거리가 풍부해요,산책로가 잘 되어있어요,편의시설이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
정릉중종왕릉,세계문화유산,서울 강남구 선릉로100길 1 선릉정릉,산책로가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요,관리가 잘 되어있어요,아이와 가기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
압구정은행공원,근린공원,서울 강남구 압구정동 459,뷰가 좋아요,가격이 합리적이에요,먹거리가 풍부해요,산책로가 잘 되어있어요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
바운스 트램폴린파크 삼성센터,"스포츠,오락",서울 강남구 영동대로 325 지하 3층,놀거리가 많아요,테마가 재미있어요,친절해요,안전하게 관리해요,공간이 넓어요
-,-,-,-,-,-,-,-
챔피언더블랙벨트 메가박스 코엑스몰점,"키즈카페,실내놀이터",서울 강남구 봉은사로 524 스타필드 코엑스몰,놀거리가 많아요,매장이 청결해요,가격이 합리적이에요,테마가 재미있어요,친절해요
ZARA HOME 스타필드 코엑스몰점,"가구,인테리어",서울 강남구 영동대로 513 코엑스몰 B1 E103,종류가 다양해요,특색 있는 제품이 많아요,품질이 좋아요,매장이 넓어요,가성비가 좋아요
-,-,-,-,-,-,-,-
현대백화점 압구정본점,백화점,서울 강남구 압구정로 165 현대백화점압구정본점,친절해요,종류가 다양해요,품질이 좋아요,시설이 깔끔해요,주차하기 편해요
오브제그린,"카페,디저트",서울 강남구 논현로95길 9 1층,음식이 맛있어요,인테리어가 멋져요,건강한 맛이에요,재료가 신선해요,커피가 맛있어요
호랑가시,"카페,디저트",서울 강남구 봉은사로6길 32 지하1층-3층,디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
캘리클럽 청담점,"키즈카페,실내놀이터",서울 강남구 선릉로 832 소나무빌딩 지하2층 지하3층,놀거리가 많아요,친절해요,매장이 청결해요,테마가 재미있어요,안전하게 관리해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
갤러리아백화점 명품관 WEST,백화점,서울 강남구 압구정로 343 갤러리아 명품관WEST,친절해요,품질이 좋아요,종류가 다양해요,비싼 만큼 가치있어요,시설이 깔끔해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
릴리펏 청담본점,"키즈카페,실내놀이터",서울 강남구 선릉로 820 남한강빌딩 릴리펏,부모도 쉬기 좋아요,놀거리가 많아요,음식이 맛있어요,친절해요,매장이 청결해요
-,-,-,-,-,-,-,-
베틀한복 강남점,한복대여,서울 강남구 학동로7길 5 베틀빌딩 1층,친절해요,상담이 자세해요,옷이 예뻐요,옷이 다양해요,스타일 추천을 잘해줘요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
릴리펏 수서점,"키즈카페,실내놀이터",서울 강남구 밤고개로21길 73 3층,음식이 맛있어요,부모도 쉬기 좋아요,친절해요,매장이 청결해요,안전하게 관리해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
현대백화점 무역센터점,백화점,서울 강남구 테헤란로 517,친절해요,종류가 다양해요,품질이 좋아요,시설이 깔끔해요,매장이 넓어요
롯데백화점 강남점,백화점,서울 강남구 도곡로 401 롯데백화점,친절해요,종류가 다양해요,품질이 좋아요,가성비가 좋아요,시설이 깔끔해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
키즈플래닛,"키즈카페,실내놀이터",서울 강남구 삼성로135길 28 (청담동) 지하1층,공간이 넓어요,친절해요,매장이 청결해요,부모도 쉬기 좋아요,놀거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
어글리퍼피 압구정 도산점,"카페,디저트",서울 강남구 언주로170길 26-6 1층 어글리퍼피,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,음료가 맛있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
