롯데월드 아쿠아리움,아쿠아리움,서울 송파구 올림픽로 300 롯데월드몰 B1,볼거리가 많아요,관리가 잘 되어있어요,규모가 커요,사진이 잘 나와요,주차하기 편해요
올림픽공원,"도시,테마공원",서울 송파구 올림픽로 424,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
서울스카이,전망대,서울 송파구 올림픽로 300 117~123층,뷰가 좋아요,사진이 잘 나와요,야경이 멋져요,볼거리가 많아요,근처에 갈 곳이 많아요
송파책박물관,박물관,서울 송파구 송파대로37길 77,주차하기 편해요,유익해요,공간이 넓어요,전시 구성이 알차요,아이와 가기 좋아요
롯데월드 어드벤처,테마파크,서울 송파구 올림픽로 240,놀이기구가 다양해요,볼거리가 많아요,아이와 가기 좋아요,먹거리가 풍부해요,사진이 잘 나와요
한성백제박물관,박물관,서울 송파구 위례성대로 71 한성백제박물관,유익해요,주차하기 편해요,전시 구성이 알차요,아이와 가기 좋아요,설명이 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
송파파크하비오워터킹덤워터파크&찜질스파,워터파크,서울 송파구 송파대로 111 202동 지하1층,시설이 깔끔해요,주차하기 편해요,수질 관리가 잘돼요,안전하게 관리해요,샤워실이 잘 되어있어요
롯데월드민속박물관,박물관,서울 송파구 올림픽로 240 롯데월드,유익해요,전시 구성이 알차요,가격이 합리적이에요,아이와 가기 좋아요,전시 테마가 재밌어요
잠실 한강공원,시민공원,서울 송파구 한가람로 65 한강사업본부 잠실안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,편의시설이 잘 되어있어요
키자니아 서울,테마파크,서울 송파구 올림픽로 240 키자니아 서울,볼거리가 많아요,아이와 가기 좋아요,체험 프로그램이 다양해요,놀이기구가 다양해요,규모가 커요
한국광고박물관,박물관,서울 송파구 올림픽로35길 137 한국광고문화회관,주차하기 편해요,유익해요,설명이 잘 되어있어요,아이와 가기 좋아요,가격이 합리적이에요
아시아공원,근린공원,서울 송파구 올림픽로 44,산책로가 잘 되어있어요,가격이 합리적이에요,뷰가 좋아요,관리가 잘 되어있어요,먹거리가 풍부해요
올림픽공원 들꽃마루,"도시,테마공원",서울 송파구 올림픽로 424,뷰가 좋아요,사진이 잘 나와요,산책로가 잘 되어있어요,볼거리가 많아요,자연 경관이 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
