여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
선유도공원,근린공원,서울 영등포구 선유로 343,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
양화 한강공원,시민공원,서울 영등포구 노들로 113 양화개나리점,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,사진이 잘 나와요,붐비지 않아요
주렁주렁 동물원 영등포점,동물원-일반,"서울 영등포구 영중로 15 타임스퀘어 4층, 5층",테마가 재미있어요,놀거리가 많아요,체험 프로그램이 많아요,친절해요,볼거리가 많아요
여의도 샛강생태공원,"자연,생태공원",서울 영등포구 여의도동 49,산책로가 잘 되어있어요,뷰가 좋아요,사진이 잘 나와요,붐비지 않아요,볼거리가 많아요
여의도 한강공원,시민공원,서울 영등포구 여의동로 330 한강사업본부 여의도안내센터,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,방문객이 많아요,볼거리가 많아요
YDP곤충체험학습관,박물관,서울 영등포구 선유동1로 80 영등포구 별관청사 E동,유익해요,아이와 가기 좋아요,체험 프로그램이 다양해요,설명이 잘 되어있어요,가격이 합리적이에요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
만천곤충박물관,박물관,"서울 영등포구 영등포로 187 4, 5층",가격이 합리적이에요,유익해요,아이와 가기 좋아요,전시 구성이 알차요,전시 테마가 재밌어요
SeaLaLa워터파크,워터파크,서울 영등포구 문래로 164 지하 2층,시설이 깔끔해요,안전하게 관리해요,가격이 합리적이에요,주차하기 편해요,수질 관리가 잘돼요
여의도물빛광장,광장,서울 영등포구 여의도동 한강남자전거길 1451 한강르네상스 여의도3호 매점,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,아이와 가기 좋아요,볼거리가 많아요
문래근린공원,근린공원,서울 영등포구 문래동3가 61,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,볼거리가 많아요
영등포공원,"도시,테마공원",서울 영등포구 신길로 275,주차하기 편해요,관리가 잘 되어있어요,산책로가 잘 되어있어요,뷰가 좋아요,볼거리가 많아요
선유도공원,근린공원,서울 영등포구 선유로 343,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
윤중로벚꽃길,"거리,골목",서울 영등포구 여의도동,뷰가 좋아요,산책로가 잘 되어있어요,방문객이 많아요,사진이 잘 나와요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
안양천제방벚꽃길,"거리,골목",서울 영등포구 양평동,뷰가 좋아요,산책로가 잘 되어있어요,사진이 잘 나와요,관리가 잘 되어있어요,볼거리가 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
국회의사당잔디마당,광장,서울 영등포구 의사당대로 1,뷰가 좋아요,산책로가 잘 되어있어요,관리가 잘 되어있어요,볼거리가 많아요,사진이 잘 나와요
당산역소공원,"도시,테마공원",서울 영등포구 당산동5가 9-29,뷰가 좋아요,가격이 합리적이에요,산책로가 잘 되어있어요,볼거리가 많아요,관리가 잘 되어있어요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
테이블뷰,"오락,레저용품",서울 영등포구 여의대방로 417 지하1층 11호,친절해요,뷰가 좋아요,야외공간이 멋져요,음식이 맛있어요,가성비가 좋아요
-,-,-,-,-,-,-,-
베틀한복 영등포점,한복대여,서울 영등포구 양평로23길 7 B1,옷이 예뻐요,친절해요,상담이 자세해요,옷이 다양해요,스타일 추천을 잘해줘요
-,-,-,-,-,-,-,-
코끼리베이글 영등포,베이글,서울 영등포구 선유로 176 코끼리베이글,빵이 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,음료가 맛있어요
-,-,-,-,-,-,-,-
한복 나빛,한복대여,서울 영등포구 영신로40길 15 거양빌딩 1층,옷이 다양해요,옷이 예뻐요,친절해요,사이즈가 다양해요,상담이 자세해요
현대백화점 더현대 서울,백화점,서울 영등포구 여의대로 108 더현대 서울,종류가 다양해요,친절해요,특색 있는 제품이 많아요,매장이 넓어요,품질이 좋아요
-,-,-,-,-,-,-,-
신세계백화점 타임스퀘어점,백화점,서울 영등포구 영중로 9,친절해요,종류가 다양해요,품질이 좋아요,시설이 깔끔해요,특색 있는 제품이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
폴앤폴리나 여의도점,베이커리,서울 영등포구 의사당대로 108 아일렉스 상가,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,건강한 맛이에요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
맨홀커피,카페,서울 영등포구 영신로 247 B동상가 지하 1층,인테리어가 멋져요,커피가 맛있어요,사진이 잘 나와요,디저트가 맛있어요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
롯데백화점 영등포점,백화점,서울 영등포구 영등포동 경인로 846,종류가 다양해요,친절해요,품질이 좋아요,가성비가 좋아요,주차하기 편해요
테디뵈르하우스 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 B1,디저트가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요
문래방구,"카페,디저트",서울 영등포구 경인로 763 문래방구,커피가 맛있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요,디저트가 맛있어요
더스크블루,"카페,디저트",서울 영등포구 당산로38길 10 2층,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
아도,차,서울 영등포구 도림로125길 16 1층 아도,차가 맛있어요,친절해요,차분한 분위기에요,인테리어가 멋져요,아늑해요
-,-,-,-,-,-,-,-
한정선 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 더현대서울 지하1층,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,음식이 맛있어요
입허전,베이커리,서울 영등포구 도림로139길 12-1 2층 입허전,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요
서울커피,"카페,디저트",서울 영등포구 국제금융로 86 롯데캐슬 아이비 1층 101호 서울커피,커피가 맛있어요,음료가 맛있어요,친절해요,디저트가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
러스트 베이커리,베이커리,서울 영등포구 경인로79길 15 러스트베이커리,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,음료가 맛있어요
IFC몰,"쇼핑센터,할인매장",서울 영등포구 여의도동 국제금융로 10 서울 국제금융 센터,종류가 다양해요,친절해요,매장이 넓어요,가성비가 좋아요,시설이 깔끔해요
칼리프하우스 문래,브런치카페,서울 영등포구 도림로139길 2-2 칼리프하우스 문래,인테리어가 멋져요,음식이 맛있어요,대화하기 좋아요,친절해요,특별한 메뉴가 있어요
강변서재,"카페,디저트",서울 영등포구 의사당대로 1 국회 사랑재 옆 건물 2층,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,인테리어가 멋져요,사진이 잘 나와요
타임스퀘어,"쇼핑센터,할인매장",서울 영등포구 영중로 15 타임스퀘어,친절해요,종류가 다양해요,매장이 넓어요,시설이 깔끔해요,품질이 좋아요
브로트아트,베이커리,서울 영등포구 국제금융로7길 3 수정상가 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,디저트가 맛있어요
영등포전통시장,시장,서울 영등포구 영등포동5가 33-29,친절해요,볼거리가 많아요,주차하기 편해요,시설이 깔끔해요,종류가 다양해요
-,-,-,-,-,-,-,-
쉐프조 문래본점,케이크전문,"서울 영등포구 문래로 98 한영빌딩 104호,105호,106호",디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,재료가 신선해요,선물하기 좋아요
윤비타 아파트먼트,"키즈카페,실내놀이터",서울 영등포구 영등포로 150 생각공장 당산 B동 710호,매장이 청결해요,놀거리가 많아요,공간이 넓어요,친절해요,부모도 쉬기 좋아요
-,-,-,-,-,-,-,-
아이엠베이글 여의도점,브런치카페,서울 영등포구 국제금융로 86 롯데캐슬 아이비 지하1층,음식이 맛있어요,재료가 신선해요,친절해요,특별한 메뉴가 있어요,혼밥하기 좋아요
헬로밀가루 영등포점,"키즈카페,실내놀이터",서울 영등포구 경인로 775 에이스하이테크시티 3동 101호,부모도 쉬기 좋아요,테마가 재미있어요,놀거리가 많아요,친절해요,매장이 청결해요
브래드밀레,베이커리,서울 영등포구 시흥대로 595 대림뉴스테이 108호,빵이 맛있어요,친절해요,가성비가 좋아요,특별한 메뉴가 있어요,매장이 청결해요
카페 레이어드 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 지하 1층,빵이 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요
베즐리 더현대서울점,베이커리,서울 영등포구 여의대로 108 지하1층 베즐리 베이커리,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
-,-,-,-,-,-,-,-
피크니크 선유도점,베이커리,서울 영등포구 양평로22길 2-1 1층,커피가 맛있어요,인테리어가 멋져요,빵이 맛있어요,음료가 맛있어요,특별한 메뉴가 있어요
-,-,-,-,-,-,-,-
칠커피바,카페,서울 영등포구 의사당대로1길 11 108호,커피가 맛있어요,친절해요,음료가 맛있어요,인테리어가 멋져요,매장이 청결해요
-,-,-,-,-,-,-,-
하얀과자점,"카페,디저트",서울 영등포구 국제금융로 70 미원빌딩 1층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,친절해요,매장이 청결해요
뽀로로파크 롯데마트맥스 영등포점,"키즈카페,실내놀이터",서울 영등포구 영중로 125 롯데마트맥스 영등포점 2층,놀거리가 많아요,테마가 재미있어요,친절해요,매장이 청결해요,주차하기 편해요
-,-,-,-,-,-,-,-
카페1953위드오드리,"카페,디저트",서울 영등포구 경인로77가길 12,인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,친절해요,음료가 맛있어요
평화,"카페,디저트",서울 영등포구 도림로131길 13 1층 평화,인테리어가 멋져요,커피가 맛있어요,대화하기 좋아요,음료가 맛있어요,친절해요
문래 마이스페이스,"카페,디저트",서울 영등포구 도림로141길 15 1층,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,인테리어가 멋져요,친절해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
커피리브레 영등포 타임스퀘어점,"카페,디저트",서울 영등포구 영중로 15 타임스퀘어 112호,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,인테리어가 멋져요
고디바베이커리 더현대서울점,초콜릿전문점,서울 영등포구 여의대로 108 더현대서울 B1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,비싼 만큼 가치있어요,커피가 맛있어요
카페꼼마 여의도점,"카페,디저트",서울 영등포구 국제금융로8길 16 1층 카페꼼마,커피가 맛있어요,인테리어가 멋져요,집중하기 좋아요,디저트가 맛있어요,음료가 맛있어요
모닝캄커피랩 당산점,"카페,디저트",서울 영등포구 당산로35길 1 1층 모닝캄커피랩,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,친절해요,음료가 맛있어요
브레드컴퍼니쉐프조,케이크전문,서울 영등포구 당산로31길 20 1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,선물하기 좋아요
아우어베이커리 롯데영등포점,베이커리,서울 영등포구 경인로 846 1층 아우어베이커리,빵이 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,친절해요,음료가 맛있어요
나폴레옹제과점 IFC몰점,베이커리,서울 영등포구 국제금융로 10 L2층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,커피가 맛있어요
더요트,요트,서울 영등포구 여의서로 160 더요트,친절해요,뷰가 좋아요,안전하게 관리해요,주차하기 편해요,가격이 합리적이에요
폰트 문래점,"카페,디저트",서울 영등포구 경인로77가길 6 1층,커피가 맛있어요,인테리어가 멋져요,친절해요,디저트가 맛있어요,매장이 청결해요
로라스블랑 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 3F 로라스블랑,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,대화하기 좋아요,인테리어가 멋져요
로스톤,"카페,디저트",서울 영등포구 대림로31가길 13 1-4층,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요,사진이 잘 나와요
언유절커피,카페,서울 영등포구 당산로36길 12 상가 104호 unusual coffee,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요,인테리어가 멋져요
도토리소년,"카페,디저트",서울 영등포구 대방천로 239 1층,커피가 맛있어요,친절해요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
라크라센타,"카페,디저트",서울 영등포구 문래로 92-5,커피가 맛있어요,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요,대화하기 좋아요
-,-,-,-,-,-,-,-
하트티라미수 더현대서울점,"카페,디저트",서울 영등포구 여의대로 108 더현대서울 지하1층,디저트가 맛있어요,특별한 메뉴가 있어요,인테리어가 멋져요,친절해요,사진이 잘 나와요
카페솔트,"카페,디저트",서울 영등포구 도림로133길 12 1층 카페솔트,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,대화하기 좋아요,특별한 메뉴가 있어요
대림중앙시장,시장,서울 영등포구 디지털로37나길 21,볼거리가 많아요,친절해요,컨셉이 독특해요,시설이 깔끔해요,주차하기 편해요
소맥베이커리 타임스퀘어,베이커리,서울 영등포구 영중로 9 지하 1층 소맥베이커리,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,매장이 청결해요,가성비가 좋아요
노티드 여의도IFC몰,카페,서울 영등포구 국제금융로 10 L2층 234호,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,커피가 맛있어요,매장이 청결해요
스페셜티스튜디오 문래점,카페,서울 영등포구 도림로139길 4 1층,커피가 맛있어요,친절해요,음료가 맛있어요,디저트가 맛있어요,특별한 메뉴가 있어요
콘래드서울 플레임즈 로비라운지,"카페,디저트",서울 영등포구 국제금융로 10 콘래드서울 1층,디저트가 맛있어요,특별한 메뉴가 있어요,친절해요,인테리어가 멋져요,매장이 청결해요
카페드리브,카페,서울 영등포구 경인로112길 1 101호,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요,집중하기 좋아요
-,-,-,-,-,-,-,-
진을림,"카페,디저트","서울 영등포구 신풍로 31-14 1,2층",인테리어가 멋져요,커피가 맛있어요,디저트가 맛있어요,음료가 맛있어요,대화하기 좋아요
카멜커피 더현대 서울,"카페,디저트",서울 영등포구 여의대로 108 지하 1층,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,친절해요,디저트가 맛있어요
아티제 여의도점,카페,서울 영등포구 국제금융로2길 17,디저트가 맛있어요,커피가 맛있어요,음료가 맛있어요,친절해요,매장이 청결해요
후무후무,"카페,디저트",서울 영등포구 도림로133길 13 1층,인테리어가 멋져요,특별한 메뉴가 있어요,디저트가 맛있어요,음식이 맛있어요,친절해요
