-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
솔밭근린공원,근린공원,서울 강북구 삼양로 561 솔밭공원 관리실및화장실,산책로가 잘 되어있어요,뷰가 좋아요,관리가 잘 되어있어요,사진이 잘 나와요,자연 경관이 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
오동근린공원,근린공원,서울 강북구 번동 산12,뷰가 좋아요,산책로가 잘 되어있어요,붐비지 않아요,관리가 잘 되어있어요,조용히 쉬기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
삼양마을공원,근린공원,서울 강북구 삼양로47길 15,주차하기 편해요,관리가 잘 되어있어요,뷰가 좋아요,붐비지 않아요,가격이 합리적이에요
우이동만남의광장,근린공원,서울 강북구 우이동 186-5,볼거리가 많아요,뷰가 좋아요,편의시설이 잘 되어있어요,주차하기 편해요,관리가 잘 되어있어요
수유일공원,근린공원,서울 강북구 수유동 605-405,뷰가 좋아요,가격이 합리적이에요,산책로가 잘 되어있어요,관리가 잘 되어있어요,먹거리가 풍부해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
대동문,성곽문,서울 강북구 4.19로28길 19-9,사진이 잘 나와요,붐비지 않아요,산책로가 잘 되어있어요,볼거리가 많아요,뷰가 좋아요
-,-,-,-,-,-,-,-
서울번동창녕위궁재사,국가유산,서울 강북구 번동,사진이 잘 나와요,볼거리가 많아요,붐비지 않아요,아이와 가기 좋아요,관리가 잘 되어있어요
카페 산아래,카페,서울 강북구 삼양로181길 56 102호,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요
몽브루,"카페,디저트",서울 강북구 4.19로 105 몽브루,커피가 맛있어요,뷰가 좋아요,디저트가 맛있어요,인테리어가 멋져요,친절해요
옥류헌릴렉스,"카페,디저트",서울 강북구 삼양로181길 142 옥류헌릴렉스,뷰가 좋아요,커피가 맛있어요,인테리어가 멋져요,디저트가 맛있어요,음료가 맛있어요
무너미,"카페,디저트",서울 강북구 노해로8가길 40 1층,디저트가 맛있어요,특별한 메뉴가 있어요,커피가 맛있어요,인테리어가 멋져요,친절해요
-,-,-,-,-,-,-,-
하이그라운드제빵소,베이커리,서울 강북구 삼양로181길 161,빵이 맛있어요,커피가 맛있어요,인테리어가 멋져요,뷰가 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
수유리조트,"카페,디저트",서울 강북구 노해로8가길 45,커피가 맛있어요,디저트가 맛있어요,인테리어가 멋져요,음료가 맛있어요,사진이 잘 나와요
-,-,-,-,-,-,-,-
paulette,"카페,디저트",서울 강북구 한천로139길 25 401호,디저트가 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,음료가 맛있어요
히피스베이글,베이커리,서울 강북구 삼양로 528 1층,빵이 맛있어요,특별한 메뉴가 있어요,친절해요,가성비가 좋아요,매장이 청결해요
라라브레드 수유점,베이커리,서울 강북구 노해로14길 8 1층,빵이 맛있어요,인테리어가 멋져요,커피가 맛있어요,친절해요,음료가 맛있어요
선데이베이글 수유점,베이글,서울 강북구 한천로143길 12 1층,빵이 맛있어요,인테리어가 멋져요,친절해요,특별한 메뉴가 있어요,커피가 맛있어요
스타벅스 파라스파라서울점,카페,서울 강북구 삼양로 689 (우이동) 파라스파라서울 지하1층,커피가 맛있어요,뷰가 좋아요,친절해요,매장이 청결해요,음료가 맛있어요
어셈블,"카페,디저트",서울 강북구 한천로 1007 1층,디저트가 맛있어요,커피가 맛있어요,특별한 메뉴가 있어요,음료가 맛있어요,매장이 청결해요
노르웨이안우드,"카페,디저트","서울 강북구 도봉로87길 32-6 1,2층",디저트가 맛있어요,커피가 맛있어요,인테리어가 멋져요,음료가 맛있어요,친절해요
디저트카페낙타,"카페,디저트",서울 강북구 4.19로 53 1층 디저트 카페 낙타,디저트가 맛있어요,커피가 맛있어요,친절해요,인테리어가 멋져요,매장이 청결해요
브레드칸 본점,베이커리,서울 강북구 수유로 83 1층,빵이 맛있어요,친절해요,가성비가 좋아요,매장이 청결해요,특별한 메뉴가 있어요
