포시즌스 호텔 서울,5성급,서울 종로구 새문안로 97,친절해요,깨끗해요,인테리어가 멋져요,호캉스하기 좋아요,침구가 좋아요
나인트리 바이 파르나스 서울 인사동,4성급,서울 종로구 인사동길 49,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,호캉스하기 좋아요
신라스테이 광화문,3성급,서울 종로구 삼봉로 71,친절해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요
JW 메리어트 동대문 스퀘어 서울,5성급,서울 종로구 청계천로 279,친절해요,깨끗해요,대중교통이 편해요,호캉스하기 좋아요,조용히 쉬기 좋아요
종로한옥궁게스트하우스,게스트하우스,서울 종로구 율곡로8길 67,조용히 쉬기 좋아요,대중교통이 편해요,깨끗해요,친절해요,냉난방이 잘돼요
다나호텔,모텔,서울 종로구 수표로18길 10,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,근처에 갈 곳이 많아요
서머셋팰리스서울,4급,서울 종로구 율곡로2길 7,친절해요,깨끗해요,조용히 쉬기 좋아요,주차하기 편해요,호캉스하기 좋아요
송현다미,전통숙소,서울 종로구 율곡로1길 40-21 송현다미,깨끗해요,인테리어가 멋져요,침구가 좋아요,조용히 쉬기 좋아요,냉난방이 잘돼요
오라카이 대학로 호텔,4성급,서울 종로구 율곡로 180,깨끗해요,친절해요,침구가 좋아요,조용히 쉬기 좋아요,호캉스하기 좋아요
이비스 앰배서더 서울 인사동,3성급,서울 종로구 삼일대로30길 31,친절해요,침구가 좋아요,조용히 쉬기 좋아요,대중교통이 편해요,깨끗해요
아보헌,전통숙소,서울 종로구 창덕궁길 104,인테리어가 멋져요,조용히 쉬기 좋아요,깨끗해요,침구가 좋아요,냉난방이 잘돼요
호텔 아트리움 종로,3성급,서울 종로구 창경궁로 106,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,대중교통이 편해요
UH Suite The Jongno,기타숙박업,"서울 종로구 종로12길 21 평구빌딩 3,4,5층",깨끗해요,침구가 좋아요,근처에 갈 곳이 많아요,대중교통이 편해요,인테리어가 멋져요
락고재 서울 북촌한옥마을,전통숙소,서울 종로구 가회동 218,조용히 쉬기 좋아요,친절해요,침구가 좋아요,깨끗해요,근처에 갈 곳이 많아요
서울큐브종로,게스트하우스,서울 종로구 삼일대로17길 51 4층,깨끗해요,대중교통이 편해요,조용히 쉬기 좋아요,화장실이 잘 되어있어요,침구가 좋아요
-,-,-,-,-,-,-,-
오라카이 인사동 스위츠,4성급,서울 종로구 인사동4길 18 로담코 인사빌딩,친절해요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,호캉스하기 좋아요
글루호텔,2성급,서울 종로구 율곡로 228,뷰가 좋아요,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요
한옥스테이문,전통숙소,서울 종로구 삼청로2길 27 한옥스테이문,깨끗해요,조용히 쉬기 좋아요,인테리어가 멋져요,침구가 좋아요,근처에 갈 곳이 많아요
목시 서울 인사동,3성급,서울 종로구 돈화문로11길 37 목시 서울 인사동,친절해요,침구가 좋아요,대중교통이 편해요,조용히 쉬기 좋아요,호캉스하기 좋아요
미담한옥게스트하우스,게스트하우스,서울 종로구 북촌로6길 25-6,친절해요,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,화장실이 잘 되어있어요
-,-,-,-,-,-,-,-
해아원,전통숙소,서울 종로구 북촌로11길 35-16 해아원,인테리어가 멋져요,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요
스테이 어플로트,전통숙소,서울 종로구 효자로7길 22-11,깨끗해요,조용히 쉬기 좋아요,침구가 좋아요,인테리어가 멋져요,사진이 잘 나와요
호텔 더 디자이너스 종로,3급,서울 종로구 수표로 89-8,침구가 좋아요,깨끗해요,친절해요,조용히 쉬기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
메이플레이스,3성급,서울 종로구 율곡로 179,친절해요,조용히 쉬기 좋아요,깨끗해요,침구가 좋아요,대중교통이 편해요
메이커스 X 이쁘다 호텔,2성급,서울 종로구 돈화문로11길 33 호텔 메이커스 X 이쁘다,대중교통이 편해요,침구가 좋아요,깨끗해요,친절해요,냉난방이 잘돼요
루미아호텔,2성급,서울 종로구 난계로29길 19-11 루미아 호텔,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,친절해요,방음이 잘돼요
종로하루,민박,서울 종로구 창경궁로21가길 5-3,깨끗해요,침구가 좋아요,인테리어가 멋져요,조용히 쉬기 좋아요,친절해요
호텔케이월드,호텔,서울 종로구 종로35길 10 K월드 호텔,깨끗해요,침구가 좋아요,친절해요,냉난방이 잘돼요,조용히 쉬기 좋아요
UH Suite The Gwanghwamun,기타숙박업,서울 종로구 우정국로2길 29,침구가 좋아요,인테리어가 멋져요,근처에 갈 곳이 많아요,대중교통이 편해요,깨끗해요
고운돈,한식,서울 종로구 수표로28길 23-6 1층,음식이 맛있어요,인테리어가 멋져요,재료가 신선해요,친절해요,특별한 메뉴가 있어요
정스테이블,반찬가게,서울 종로구 지봉로 9-1,음식이 맛있어요,종류가 다양해요,재료가 신선해요,친절해요,포장이 깔끔해요
레몬트리 호텔,모텔,서울 종로구 돈화문로5가길 39,침구가 좋아요,조용히 쉬기 좋아요,친절해요,깨끗해요,대중교통이 편해요
더프리마호텔 종로,3성급,서울 종로구 우정국로 46,친절해요,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
아미드 호텔 서울,호텔,서울 종로구 인사동5길 38,친절해요,침구가 좋아요,가성비가 좋아요,깨끗해요,대중교통이 편해요
-,-,-,-,-,-,-,-
이와_안길사가,전통숙소,서울 종로구 북촌로1길 24-2 1층,인테리어가 멋져요,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요
-,-,-,-,-,-,-,-
북어나잇 시인의 집,전통숙소,서울 종로구 필운대로 26-21,조용히 쉬기 좋아요,깨끗해요,화장실이 잘 되어있어요,인테리어가 멋져요,침구가 좋아요
한옥 201,게스트하우스,서울 종로구 북촌로 40-3 차로 오실땐 반드시 [북촌로 40]으로 검색해 주세요,친절해요,조용히 쉬기 좋아요,깨끗해요,냉난방이 잘돼요,대중교통이 편해요
SimpleStay Hotel,모텔,서울 종로구 수표로26길 11,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,근처에 갈 곳이 많아요
종로아이엠티호텔,모텔,서울 종로구 수표로18가길 8,친절해요,깨끗해요,조용히 쉬기 좋아요,대중교통이 편해요,근처에 갈 곳이 많아요
나그네하우스,모텔,서울 종로구 자하문로1나길 6,친절해요,인테리어가 멋져요,조용히 쉬기 좋아요,깨끗해요,근처에 갈 곳이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
정연재,전통숙소,서울 종로구 삼청로7길 19-14,조용히 쉬기 좋아요,깨끗해요,인테리어가 멋져요,근처에 갈 곳이 많아요,사진이 잘 나와요
브라운도트 호텔 종로점,호텔,서울 종로구 수표로22길 5,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
