초안산캠핑장,"캠핑,야영장",서울 노원구 마들로5가길 66-107,화장실이 잘 되어있어요,주차하기 편해요,조용히 쉬기 좋아요,개수대가 잘 되어있어요,깨끗해요
호텔월,모텔,서울 노원구 노해로75길 14-10 호텔월,깨끗해요,친절해요,주차하기 편해요,침구가 좋아요,조용히 쉬기 좋아요
W호텔,모텔,서울 노원구 화랑로 445,침구가 좋아요,친절해요,깨끗해요,조용히 쉬기 좋아요,냉난방이 잘돼요
뉴몬드호텔,호텔,서울 노원구 노해로75길 20-3 뉴몬드모텔,깨끗해요,침구가 좋아요,친절해요,조용히 쉬기 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
노블레스관광호텔,3급,서울 노원구 노해로77길 22 노블레스관광호텔,친절해요,조용히 쉬기 좋아요,대중교통이 편해요,침구가 좋아요,깨끗해요
리츠호텔,모텔,서울 노원구 노해로75길 20-7 상계6.7동 702-1,깨끗해요,친절해요,침구가 좋아요,주차하기 편해요,냉난방이 잘돼요
모모 호텔,호텔,서울 노원구 노해로75길 14-13 모모호텔,친절해요,침구가 좋아요,조용히 쉬기 좋아요,깨끗해요,방음이 잘돼요
호텔럭스,2급,서울 노원구 노해로75길 14-3,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,주차하기 편해요
에이플러스,모텔,서울 노원구 노해로75길 20-21,조용히 쉬기 좋아요,침구가 좋아요,친절해요,깨끗해요,대중교통이 편해요
엠모텔,모텔,서울 노원구 화랑로 413,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,방음이 잘돼요
카누호텔,모텔,서울 노원구 동일로243길 17,깨끗해요,친절해요,조용히 쉬기 좋아요,침구가 좋아요,인테리어가 멋져요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
QT모텔,모텔,서울 노원구 동일로 1035 QT모텔,친절해요,조용히 쉬기 좋아요,대중교통이 편해요,깨끗해요,침구가 좋아요
노원모텔,모텔,서울 노원구 노해로75길 14-7,깨끗해요,친절해요,주차하기 편해요,침구가 좋아요,즐길 거리가 많아요
-,-,-,-,-,-,-,-
브이모텔,모텔,서울 노원구 노해로75길 14-8,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,친절해요,방음이 잘돼요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
필름37.2호텔,여관,서울 노원구 상계로 26 (상계동),친절해요,깨끗해요,침구가 좋아요,조용히 쉬기 좋아요,주차하기 편해요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
세피아,호텔,서울 노원구 노해로75길 20-17 세피아호텔,침구가 좋아요,깨끗해요,조용히 쉬기 좋아요,뷰가 좋아요,호캉스하기 좋아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
에쿠스,여관,서울 노원구 상계로 26,친절해요,깨끗해요,화장실이 잘 되어있어요,침구가 좋아요,조용히 쉬기 좋아요
구월십일,일식당,서울 도봉구 도봉로112길 26 1층 구월십일,음식이 맛있어요,혼밥하기 좋아요,재료가 신선해요,친절해요,양이 많아요
-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-
